individual,mode,choice,wait,vcost,travel,gcost,income,size
59,car,no,0,38,883,134,30,1
60,air,no,64,88,119,106,35,3
60,train,yes,50,78,775,196,35,3
60,bus,no,53,43,840,170,35,3
60,car,no,0,16,855,146,35,3
61,air,no,69,105,196,126,6,1
61,train,yes,40,43,895,140,6,1
61,bus,no,35,44,919,144,6,1
61,car,no,0,50,935,152,6,1
62,air,no,64,120,333,170,6,1
62,train,yes,25,28,870,160,6,1
62,bus,no,53,52,890,187,6,1
62,car,no,0,38,921,178,6,1
63,air,no,64,103,146,125,8,2
63,train,yes,25,36,875,169,8,2
63,bus,no,53,43,943,186,8,2
63,car,no,0,19,887,154,8,2
64,air,no,69,103,138,118,6,1
64,train,yes,5,22,800,109,6,1
64,bus,no,35,43,821,132,6,1
64,car,no,0,36,846,128,6,1
65,air,no,64,116,164,141,12,2
65,train,yes,75,89,685,193,12,2
65,bus,no,53,47,875,180,12,2
65,car,no,0,19,874,152,12,2
66,air,no,69,103,129,117,30,1
66,train,no,34,88,925,189,30,1
66,bus,yes,10,30,790,116,30,1
66,car,no,0,50,887,146,30,1
67,air,no,64,109,230,144,35,2
67,train,no,44,101,1104,269,35,2
67,bus,no,53,56,1094,222,35,2
67,car,yes,0,26,960,172,35,2
68,air,no,69,108,177,127,35,1
68,train,no,34,92,907,191,35,1
68,bus,yes,45,39,850,131,35,1
68,car,no,0,52,865,146,35,1
69,air,no,64,92,161,117,60,3
69,train,yes,40,73,792,193,60,3
69,bus,no,53,46,920,186,60,3
69,car,no,0,16,887,151,60,3
70,air,no,64,119,161,143,60,2
70,train,yes,45,75,765,191,60,2
70,bus,no,53,51,869,182,60,2
70,car,no,0,19,898,155,60,2
71,air,no,64,109,190,138,12,2
71,train,yes,40,24,399,85,12,2
71,bus,no,53,46,951,190,12,2
71,car,no,0,27,897,163,12,2
72,air,no,69,111,108,122,10,1
72,train,yes,30,30,760,113,10,1
72,bus,no,35,50,867,144,10,1
72,car,no,0,47,844,139,10,1
73,air,no,69,104,246,131,10,1
73,train,yes,25,23,830,113,10,1
73,bus,no,35,45,1068,161,10,1
73,car,no,0,41,978,147,10,1
74,air,no,69,104,200,126,15,1
74,train,yes,75,23,835,114,15,1
74,bus,no,35,43,846,135,15,1
74,car,no,0,40,927,141,15,1
75,air,no,64,124,160,148,10,2
75,train,yes,30,82,850,211,10,2
75,bus,no,53,54,893,189,10,2
75,car,no,0,19,886,153,10,2
76,air,no,64,103,145,125,8,1
76,train,yes,50,73,840,200,8,1
76,bus,no,53,43,892,178,8,1
76,car,no,0,50,894,186,8,1
77,air,no,69,103,125,116,30,1
77,train,yes,30,80,800,167,30,1
77,bus,no,35,42,844,134,30,1
77,car,no,0,38,861,132,30,1
78,air,no,64,113,163,137,20,2
78,train,no,44,51,948,195,20,2
78,bus,no,53,49,938,191,20,2
78,car,yes,0,26,720,135,20,2
79,air,no,64,76,147,98,70,5
79,train,no,44,63,918,203,70,5
79,bus,no,53,44,908,182,70,5
79,car,yes,0,10,1440,228,70,5
80,air,no,69,108,163,125,20,1
80,train,no,34,89,905,187,20,1
80,bus,yes,30,43,785,128,20,1
80,car,no,0,35,879,130,20,1
81,air,no,69,127,193,148,60,1
81,train,no,34,109,888,205,60,1
81,bus,yes,60,52,1025,163,60,1
81,car,no,0,50,892,147,60,1
82,air,no,64,44,100,59,70,4
82,train,no,44,25,351,78,70,4
82,bus,no,53,20,361,75,70,4
82,car,yes,0,5,180,32,70,4
83,air,no,69,59,98,69,8,1
83,train,yes,1,11,320,46,8,1
83,bus,no,35,13,413,57,8,1
83,car,no,0,17,332,53,8,1
84,air,no,69,59,114,72,30,1
84,train,yes,25,60,337,97,30,1
84,bus,no,35,25,423,71,30,1
84,car,no,0,8,335,44,30,1
85,air,yes,25,65,140,86,70,2
85,train,no,44,69,596,160,70,2
85,bus,no,53,30,590,120,70,2
85,car,no,0,16,577,104,70,2
86,air,no,69,60,67,67,60,1
86,train,yes,10,37,285,68,60,1
86,bus,no,35,28,400,72,60,1
86,car,no,0,14,320,49,60,1
87,air,no,64,59,118,77,20,2
87,train,no,44,17,349,70,20,2
87,bus,no,53,14,359,68,20,2
87,car,yes,0,5,240,41,20,2
88,air,no,69,61,72,69,15,1
88,train,yes,10,18,305,51,15,1
88,bus,no,35,27,396,70,15,1
88,car,no,0,12,332,48,15,1
89,air,no,64,59,118,77,30,2
89,train,no,44,32,349,85,30,2
89,bus,no,53,26,359,80,30,2
89,car,yes,0,6,265,46,30,2
90,air,no,64,60,74,71,26,2
90,train,yes,20,40,262,80,26,2
90,bus,no,53,26,389,85,26,2
90,car,no,0,10,315,58,26,2
91,air,no,64,44,93,58,35,4
91,train,yes,20,30,291,74,35,4
91,bus,no,53,19,346,72,35,4
91,car,no,0,4,316,52,35,4
92,air,no,69,58,124,71,12,1
92,train,yes,10,30,340,67,12,1
92,bus,no,35,25,427,71,12,1
92,car,no,0,14,364,54,12,1
93,air,no,64,84,108,100,70,2
93,train,no,44,70,596,160,70,2
93,bus,no,53,31,590,120,70,2
93,car,yes,0,15,360,70,70,2
94,air,yes,30,145,90,158,50,1
94,train,no,44,31,343,83,50,1
94,bus,no,53,25,388,84,50,1
94,car,no,0,13,296,58,50,1
95,air,yes,45,121,100,136,40,2
95,train,no,44,92,926,233,40,2
95,bus,no,53,47,916,186,40,2
95,car,no,0,20,885,154,40,2
96,air,yes,30,84,180,103,70,1
96,train,no,34,72,707,149,70,1
96,bus,no,35,33,701,109,70,1
96,car,no,0,26,626,94,70,1
97,air,no,69,61,146,77,10,1
97,train,no,34,17,409,61,10,1
97,bus,yes,5,31,300,64,10,1
97,car,no,0,13,350,51,10,1
98,air,yes,45,180,160,197,26,1
98,train,no,34,89,985,196,26,1
98,bus,no,35,44,975,150,26,1
98,car,no,0,39,896,136,26,1
99,air,no,64,94,231,129,50,3
99,train,no,44,79,949,223,50,3
99,bus,yes,40,32,1110,201,50,3
99,car,no,0,13,942,156,50,3
100,air,no,64,92,203,123,70,3
100,train,no,44,77,961,223,70,3
100,bus,no,53,46,951,190,70,3
100,car,yes,0,17,780,135,70,3
101,air,no,69,59,111,71,30,1
101,train,no,34,31,376,72,30,1
101,bus,yes,15,25,360,64,30,1
101,car,no,0,23,351,61,30,1
102,air,no,64,75,153,99,50,5
102,train,no,44,64,900,201,50,5
102,bus,no,53,45,890,180,50,5
102,car,yes,0,13,720,122,50,5
103,air,no,69,58,99,68,20,1
103,train,no,34,16,366,55,20,1
103,bus,no,35,13,411,57,20,1
103,car,yes,0,13,300,46,20,1
104,air,no,64,110,153,133,32,2
104,train,no,44,91,874,223,32,2
104,bus,no,53,46,864,177,32,2
104,car,yes,0,21,960,167,32,2
105,air,no,64,108,187,136,27,2
105,train,no,44,90,932,231,27,2
105,bus,no,53,45,922,185,27,2
105,car,yes,0,20,1440,238,27,2
106,air,no,69,104,179,123,30,1
106,train,no,34,89,978,195,30,1
106,bus,yes,30,28,795,114,30,1
106,car,no,0,40,904,138,30,1
107,air,no,69,108,180,128,35,1
107,train,no,34,89,901,187,35,1
107,bus,no,35,44,891,141,35,1
107,car,yes,0,34,720,112,35,1
108,air,no,64,78,146,100,40,4
108,train,no,44,66,903,203,40,4
108,bus,no,53,43,893,178,40,4
108,car,yes,0,11,870,143,40,4
109,air,no,64,60,144,82,60,2
109,train,no,44,32,404,93,60,2
109,bus,no,53,26,449,94,60,2
109,car,yes,0,8,270,49,60,2
110,air,no,64,78,175,105,40,4
110,train,no,44,67,932,208,40,4
110,bus,no,53,44,922,183,40,4
110,car,yes,0,12,720,121,40,4
111,air,no,69,67,108,79,70,1
111,train,no,34,38,370,78,70,1
111,bus,no,35,32,415,77,70,1
111,car,yes,0,12,240,38,70,1
112,air,no,64,108,200,139,70,2
112,train,no,44,90,944,234,70,2
112,bus,no,53,45,934,187,70,2
112,car,yes,0,19,720,128,70,2
113,air,yes,60,108,80,120,30,2
113,train,no,44,32,344,84,30,2
113,bus,no,53,26,389,85,30,2
113,car,no,0,7,315,55,30,2
114,air,yes,30,58,90,72,35,2
114,train,no,44,32,506,109,35,2
114,bus,no,53,26,551,110,35,2
114,car,no,0,8,402,69,35,2
115,air,yes,55,69,115,81,60,1
115,train,no,34,43,392,85,60,1
115,bus,no,35,37,437,84,60,1
115,car,no,0,13,268,42,60,1
116,air,yes,40,66,105,77,45,1
116,train,no,34,31,372,71,45,1
116,bus,no,35,25,417,70,45,1
116,car,no,0,18,327,54,45,1
117,air,no,69,57,67,65,45,1
117,train,no,34,31,355,69,45,1
117,bus,yes,40,18,245,45,45,1
117,car,no,0,13,320,48,45,1
118,air,no,69,129,185,149,6,1
118,train,no,34,67,933,168,6,1
118,bus,yes,20,54,820,143,6,1
118,car,no,0,38,894,135,6,1
119,air,yes,90,151,95,161,36,1
119,train,no,34,96,895,193,36,1
119,bus,no,35,51,885,147,36,1
119,car,no,0,35,844,127,36,1
120,air,yes,10,70,85,80,20,1
120,train,no,34,34,351,72,20,1
120,bus,no,35,28,396,71,20,1
120,car,no,0,22,307,55,20,1
121,air,yes,25,75,100,90,20,2
121,train,no,44,15,348,68,20,2
121,bus,no,53,12,393,72,20,2
121,car,no,0,7,290,51,20,2
122,air,yes,99,110,260,138,26,1
122,train,no,34,92,934,193,26,1
122,bus,no,35,47,924,147,26,1
122,car,no,0,45,816,134,26,1
123,air,yes,30,94,195,115,29,1
123,train,no,34,89,943,191,29,1
123,bus,no,35,44,933,145,29,1
123,car,no,0,58,912,157,29,1
124,air,yes,35,95,155,119,8,2
124,train,no,44,45,930,186,8,2
124,bus,no,53,43,920,183,8,2
124,car,no,0,23,860,153,8,2
125,air,no,69,104,178,123,32,1
125,train,no,34,89,992,197,32,1
125,bus,yes,15,38,675,111,32,1
125,car,no,0,39,900,137,32,1
126,air,no,64,103,170,129,45,2
126,train,no,44,88,889,222,45,2
126,bus,yes,30,35,770,152,45,2
126,car,no,0,18,905,155,45,2
127,air,no,64,86,167,112,45,3
127,train,no,44,75,972,222,45,3
127,bus,no,53,44,962,190,45,3
127,car,yes,0,13,870,145,45,3
128,air,no,64,108,139,129,26,2
128,train,no,44,90,862,220,26,2
128,bus,yes,30,36,780,154,26,2
128,car,no,0,18,875,151,26,2
129,air,no,69,59,106,71,60,1
129,train,no,34,31,372,71,60,1
129,bus,no,35,25,417,70,60,1
129,car,yes,0,13,300,46,60,1
130,air,no,64,58,124,77,10,2
130,train,yes,10,35,380,92,10,2
130,bus,no,53,13,427,78,10,2
130,car,no,0,8,364,63,10,2
131,air,no,64,107,153,131,45,2
131,train,no,44,89,880,222,45,2
131,bus,no,53,44,870,176,45,2
131,car,yes,0,2,660,102,45,2
132,air,no,64,86,143,108,60,3
132,train,no,44,74,880,207,60,3
132,bus,no,53,43,870,175,60,3
132,car,yes,0,16,660,116,60,3
133,air,no,69,108,196,129,60,1
133,train,no,34,91,967,196,60,1
133,bus,yes,15,35,935,136,60,1
133,car,no,0,38,903,136,60,1
134,air,no,69,103,149,119,8,1
134,train,no,34,45,892,142,8,1
134,bus,yes,25,25,730,104,8,1
134,car,no,0,37,882,133,8,1
135,air,no,64,103,160,127,60,2
135,train,no,44,89,987,239,60,2
135,bus,no,53,44,977,192,60,2
135,car,yes,0,34,660,134,60,2
136,air,no,64,114,161,138,12,2
136,train,no,44,60,1031,217,12,2
136,bus,no,53,58,1021,213,12,2
136,car,yes,0,19,720,128,12,2
137,air,no,69,107,150,123,45,1
137,train,no,34,91,914,190,45,1
137,bus,no,35,46,904,144,45,1
137,car,yes,0,36,750,117,45,1
138,air,no,69,118,137,132,50,1
138,train,no,34,96,904,194,50,1
138,bus,yes,5,65,850,157,50,1
138,car,no,0,64,859,157,50,1
139,air,no,69,102,101,113,26,1
139,train,no,34,87,870,182,26,1
139,bus,yes,45,35,800,122,26,1
139,car,no,0,35,825,125,26,1
140,air,no,64,85,101,101,35,3
140,train,no,44,73,870,205,35,3
140,bus,no,53,42,860,173,35,3
140,car,yes,0,12,600,103,35,3
141,air,no,69,107,158,125,12,1
141,train,yes,30,61,780,146,12,1
141,bus,no,35,45,901,143,12,1
141,car,no,0,54,853,147,12,1
142,air,no,69,113,244,140,15,1
142,train,yes,30,67,845,158,15,1
142,bus,no,35,49,893,146,15,1
142,car,no,0,47,868,141,15,1
143,air,no,64,84,215,117,12,4
143,train,yes,99,37,885,171,12,4
143,bus,no,53,46,966,193,12,4
143,car,no,0,10,921,150,12,4
144,air,no,64,94,163,119,35,3
144,train,yes,25,68,755,183,35,3
144,bus,no,53,47,895,183,35,3
144,car,no,0,16,879,149,35,3
145,air,no,69,112,161,129,26,1
145,train,yes,15,21,797,108,26,1
145,bus,no,35,45,876,140,26,1
145,car,no,0,47,852,140,26,1
146,air,no,69,103,166,121,6,1
146,train,yes,45,20,820,109,6,1
146,bus,no,35,43,836,134,6,1
146,car,no,0,35,886,131,6,1
147,air,no,69,107,152,124,4,1
147,train,yes,30,33,755,115,4,1
147,bus,no,35,44,882,140,4,1
147,car,no,0,48,845,140,4,1
148,air,no,64,103,164,128,40,2
148,train,yes,10,41,730,152,40,2
148,bus,no,53,43,925,183,40,2
148,car,no,0,19,898,155,40,2
149,air,no,64,143,166,168,40,1
149,train,yes,10,83,825,208,40,1
149,bus,no,53,70,896,206,40,1
149,car,no,0,50,911,188,40,1
150,air,yes,45,94,270,123,60,1
150,train,no,34,91,916,190,60,1
150,bus,no,35,46,906,144,60,1
150,car,no,0,49,872,144,60,1
151,air,yes,45,138,115,150,4,1
151,train,no,34,60,880,156,4,1
151,bus,no,35,58,870,153,4,1
151,car,no,0,47,888,143,4,1
152,air,yes,60,102,250,129,50,1
152,train,no,34,112,997,220,50,1
152,bus,no,35,67,952,170,50,1
152,car,no,0,43,971,148,50,1
153,air,yes,60,151,255,190,60,2
153,train,no,44,91,941,234,60,2
153,bus,no,53,46,931,187,60,2
153,car,no,0,21,959,166,60,2
154,air,yes,60,111,205,133,70,1
154,train,no,34,97,888,193,70,1
154,bus,no,35,52,878,147,70,1
154,car,no,0,49,855,142,70,1
155,air,yes,60,70,95,93,40,2
155,train,no,44,31,360,85,40,2
155,bus,no,53,25,405,86,40,2
155,car,no,0,7,335,58,40,2
156,air,yes,45,74,70,85,35,3
156,train,no,44,26,361,81,35,3
156,bus,no,53,21,406,82,35,3
156,car,no,0,4,315,52,35,3
157,air,yes,75,165,180,192,60,2
157,train,no,44,98,967,245,60,2
157,bus,no,53,53,922,193,60,2
157,car,no,0,26,947,170,60,2
158,air,yes,30,93,175,112,60,1
158,train,no,34,96,1030,208,60,1
158,bus,no,35,51,1020,162,60,1
158,car,no,0,54,967,159,60,1
159,air,yes,90,71,115,89,50,2
159,train,no,44,31,385,89,50,2
159,bus,no,53,25,430,90,50,2
159,car,no,0,7,332,57,50,2
160,air,yes,45,75,75,96,40,3
160,train,no,44,33,418,96,40,3
160,bus,no,53,28,463,98,40,3
160,car,no,0,5,291,49,40,3
161,air,yes,60,81,70,89,60,1
161,train,no,34,32,341,69,60,1
161,bus,no,35,26,386,68,60,1
161,car,no,0,13,307,46,60,1
162,air,yes,75,94,95,104,20,1
162,train,no,34,33,367,73,20,1
162,bus,no,35,27,412,72,20,1
162,car,no,0,14,314,48,20,1
163,air,no,64,70,158,93,50,3
163,train,no,44,61,778,179,50,3
163,bus,no,53,34,772,151,50,3
163,car,yes,0,11,470,82,50,3
164,air,no,64,65,145,87,70,4
164,train,no,44,54,674,156,70,4
164,bus,no,53,33,668,135,70,4
164,car,yes,0,8,560,93,70,4
165,air,no,64,71,133,91,50,3
165,train,no,44,59,625,153,50,3
165,bus,no,53,32,619,126,50,3
165,car,yes,0,8,510,85,50,3
166,air,no,69,81,139,96,26,1
166,train,no,34,71,698,147,26,1
166,bus,no,35,32,692,107,26,1
166,car,yes,0,33,600,98,26,1
167,air,no,64,65,154,89,45,4
167,train,no,44,53,621,147,45,4
167,bus,no,53,32,615,125,45,4
167,car,yes,0,9,535,90,45,4
168,air,no,64,58,148,80,45,6
168,train,no,44,48,646,145,45,6
168,bus,no,53,32,640,129,45,6
168,car,yes,0,5,470,76,45,6
169,air,no,69,81,95,91,30,1
169,train,no,34,70,610,136,30,1
169,bus,no,35,31,604,96,30,1
169,car,yes,0,30,440,78,30,1
170,air,no,64,71,145,93,40,3
170,train,no,44,59,658,159,40,3
170,bus,no,53,32,652,131,40,3
170,car,yes,0,10,590,100,40,3
171,air,no,64,82,159,106,50,2
171,train,no,44,71,765,187,50,2
171,bus,no,53,32,759,147,50,2
171,car,yes,0,13,490,87,50,2
172,air,no,69,61,73,69,35,1
172,train,no,34,33,350,71,35,1
172,bus,yes,50,26,227,51,35,1
172,car,no,0,14,314,48,35,1
173,air,no,69,60,133,74,34,1
173,train,no,34,31,397,74,34,1
173,bus,yes,15,21,240,47,34,1
173,car,no,0,14,351,52,34,1
174,air,no,64,81,129,101,8,2
174,train,no,44,35,677,138,8,2
174,bus,yes,15,31,565,117,8,2
174,car,no,0,12,588,101,8,2
175,air,no,69,59,117,72,30,1
175,train,no,34,32,397,75,30,1
175,bus,no,35,26,442,74,30,1
175,car,yes,0,17,180,37,30,1
176,air,no,69,111,276,141,32,1
176,train,no,34,93,1047,207,32,1
176,bus,yes,30,35,860,128,32,1
176,car,no,0,42,1008,151,32,1
177,air,no,69,59,88,68,26,1
177,train,no,34,30,361,70,26,1
177,bus,yes,15,21,295,53,26,1
177,car,no,0,13,299,45,26,1
178,air,no,69,59,114,71,42,1
178,train,no,34,31,389,73,42,1
178,bus,yes,15,21,243,47,42,1
178,car,no,0,13,334,49,42,1
179,air,yes,90,55,115,72,50,1
179,train,no,44,72,602,163,50,1
179,bus,no,53,33,596,123,50,1
179,car,no,0,24,589,113,50,1
180,air,yes,15,87,110,104,70,2
180,train,no,44,31,348,84,70,2
180,bus,no,53,25,393,85,70,2
180,car,no,0,7,320,56,70,2
181,air,no,69,62,76,71,30,1
181,train,no,34,39,377,80,30,1
181,bus,no,35,33,422,79,30,1
181,car,yes,0,12,300,45,30,1
182,air,no,69,59,121,72,26,1
182,train,no,34,31,386,73,26,1
182,bus,no,35,25,431,72,26,1
182,car,yes,0,14,270,43,26,1
183,air,no,64,51,90,64,26,3
183,train,yes,20,61,350,114,26,3
183,bus,no,53,22,405,83,26,3
183,car,no,0,6,327,56,26,3
184,air,no,64,64,215,97,18,2
184,train,yes,50,41,420,104,18,2
184,bus,no,53,15,385,73,18,2
184,car,no,0,9,321,58,18,2
185,air,no,64,58,74,69,35,2
185,train,yes,30,21,295,66,35,2
185,bus,no,53,24,389,83,35,2
185,car,no,0,7,315,55,35,2
186,air,no,64,71,119,89,50,3
186,train,no,44,58,617,152,50,3
186,bus,yes,15,35,615,128,50,3
186,car,no,0,11,586,100,50,3
187,air,yes,15,50,75,58,4,1
187,train,no,34,15,361,55,4,1
187,bus,no,35,12,406,56,4,1
187,car,no,0,13,315,47,4,1
188,air,yes,10,61,80,73,30,4
188,train,no,44,24,350,77,30,4
188,bus,no,53,19,395,79,30,4
188,car,no,0,4,314,52,30,4
189,air,no,69,59,100,70,45,1
