"","case","alt","choice","dist","cost","ivt","ovt","freq","income","urban","noalt"
"56",25,"train",0,345,66.65,209,94,4,70,0,3
"57",25,"air",0,345,159.5,56,139,9,70,0,3
"58",25,"car",1,345,65.55,226,0,0,70,0,3
"59",26,"train",0,345,66.65,209,94,4,55,0,3
"60",26,"air",0,345,159.5,56,139,9,55,0,3
"61",26,"car",1,345,65.55,226,0,0,55,0,3
"62",27,"train",0,364,68.65,209,104,4,70,0,3
"63",27,"air",0,364,174.2,56,144,9,70,0,3
"64",27,"car",1,364,69.16,237,0,0,70,0,3
"65",28,"train",0,192,43.65,117,84,4,35,0,3
"66",28,"bus",0,192,19.87,149,63,8,35,0,3
"67",28,"car",1,192,36.48,129,0,0,35,0,3
"68",29,"train",1,188,40.15,117,64,4,45,0,3
"69",29,"bus",0,188,19.37,149,58,8,45,0,3
"70",29,"car",0,188,35.72,131,0,0,45,0,3
"71",30,"train",1,188,40.15,117,64,4,15,0,3
"72",30,"bus",0,188,19.37,149,58,8,15,0,3
"73",30,"car",0,188,35.72,131,0,0,15,0,3
"74",31,"train",1,188,40.15,117,64,4,70,0,3
"75",31,"bus",0,188,19.37,149,58,8,70,0,3
"76",31,"car",0,188,35.72,131,0,0,70,0,3
"77",32,"train",1,188,40.15,117,64,4,35,0,3
"78",32,"bus",0,188,19.37,149,58,8,35,0,3
"79",32,"car",0,188,35.72,131,0,0,35,0,3
"80",33,"train",1,188,40.15,117,64,4,70,0,3
"81",33,"bus",0,188,19.37,149,58,8,70,0,3
"82",33,"car",0,188,35.72,131,0,0,70,0,3
"83",34,"train",1,188,40.15,117,64,4,70,0,3
"84",34,"bus",0,188,19.37,149,58,8,70,0,3
"85",34,"car",0,188,35.72,131,0,0,70,0,3
"86",35,"train",1,188,40.15,117,64,4,70,0,3
"87",35,"bus",0,188,19.37,149,58,8,70,0,3
"88",35,"car",0,188,35.72,131,0,0,70,0,3
"89",36,"train",1,188,40.15,117,64,4,45,0,3
"90",36,"bus",0,188,19.37,149,58,8,45,0,3
"91",36,"car",0,188,35.72,131,0,0,45,0,3
"92",37,"train",1,188,40.15,117,64,4,15,0,3
"93",37,"bus",0,188,19.37,149,58,8,15,0,3
"94",37,"car",0,188,35.72,131,0,0,15,0,3
"95",38,"train",0,188,40.15,117,64,4,35,0,3
"96",38,"bus",0,188,19.37,149,58,8,35,0,3
"97",38,"car",1,188,35.72,131,0,0,35,0,3
"98",39,"train",0,188,40.15,117,64,4,70,0,3
"99",39,"bus",0,188,19.37,149,58,8,70,0,3
"100",39,"car",1,188,35.72,131,0,0,70,0,3
"101",40,"train",0,188,40.15,117,64,4,35,0,3
"102",40,"bus",0,188,19.37,149,58,8,35,0,3
"103",40,"car",1,188,35.72,131,0,0,35,0,3
"104",41,"train",0,188,40.15,117,64,4,34,0,3
"105",41,"bus",0,188,19.37,149,58,8,34,0,3
"106",41,"car",1,188,35.72,131,0,0,34,0,3
"107",42,"train",0,188,40.15,117,64,4,70,0,3
"108",42,"bus",0,188,19.37,149,58,8,70,0,3
"109",42,"car",1,188,35.72,131,0,0,70,0,3
"110",43,"train",0,188,40.15,117,64,4,70,0,3
"111",43,"bus",0,188,19.37,149,58,8,70,0,3
"112",43,"car",1,188,35.72,131,0,0,70,0,3
"113",44,"train",0,188,40.15,117,64,4,35,0,3
"114",44,"bus",0,188,19.37,149,58,8,35,0,3
"115",44,"car",1,188,35.72,131,0,0,35,0,3
"116",45,"train",0,188,40.15,117,64,4,45,0,3
"117",45,"bus",0,188,19.37,149,58,8,45,0,3
"118",45,"car",1,188,35.72,131,0,0,45,0,3
"119",46,"train",0,188,40.15,117,64,4,45,0,3
"120",46,"bus",0,188,19.37,149,58,8,45,0,3
"121",46,"car",1,188,35.72,131,0,0,45,0,3
"122",47,"train",0,188,40.15,117,64,4,35,0,3
"123",47,"bus",0,188,19.37,149,58,8,35,0,3
"124",47,"car",1,188,35.72,131,0,0,35,0,3
"125",48,"train",0,188,40.15,117,64,4,55,0,3
"126",48,"bus",0,188,19.37,149,58,8,55,0,3
"127",48,"car",1,188,35.72,131,0,0,55,0,3
"128",49,"train",0,188,40.15,117,64,4,70,0,3
"129",49,"bus",0,188,19.37,149,58,8,70,0,3
"130",49,"car",1,188,35.72,131,0,0,70,0,3
"131",50,"train",0,188,40.15,117,64,4,45,0,3
"132",50,"bus",0,188,19.37,149,58,8,45,0,3
"133",50,"car",1,188,35.72,131,0,0,45,0,3
"134",51,"train",0,188,40.15,117,64,4,15,0,3
"135",51,"bus",0,188,19.37,149,58,8,15,0,3
"136",51,"car",1,188,35.72,131,0,0,15,0,3
"137",52,"train",0,188,40.15,117,64,4,70,0,3
"138",52,"bus",0,188,19.37,149,58,8,70,0,3
"139",52,"car",1,188,35.72,131,0,0,70,0,3
"140",53,"train",0,188,40.15,117,64,4,70,0,3
"141",53,"bus",0,188,19.37,149,58,8,70,0,3
"142",53,"car",1,188,35.72,131,0,0,70,0,3
"143",54,"train",0,188,40.15,117,64,4,45,0,3
"144",54,"bus",0,188,19.37,149,58,8,45,0,3
"145",54,"car",1,188,35.72,131,0,0,45,0,3
"146",55,"train",0,188,40.15,117,64,4,55,0,3
"147",55,"bus",0,188,19.37,149,58,8,55,0,3
"148",55,"car",1,188,35.72,131,0,0,55,0,3
"149",56,"train",0,188,40.15,117,64,4,45,0,3
"150",56,"bus",0,188,19.37,149,58,8,45,0,3
"151",56,"car",1,188,35.72,131,0,0,45,0,3
"152",57,"train",0,188,40.15,117,64,4,45,0,3
"153",57,"bus",0,188,19.37,149,58,8,45,0,3
"154",57,"car",1,188,35.72,131,0,0,45,0,3
"155",58,"train",0,188,40.15,117,64,4,70,0,3
"156",58,"bus",0,188,19.37,149,58,8,70,0,3
"157",58,"car",1,188,35.72,131,0,0,70,0,3
"158",59,"train",0,188,40.15,117,64,4,70,0,3
"159",59,"bus",0,188,19.37,149,58,8,70,0,3
"160",59,"car",1,188,35.72,131,0,0,70,0,3
"161",60,"train",0,188,40.15,117,64,4,70,0,3
"162",60,"bus",0,188,19.37,149,58,8,70,0,3
"163",60,"car",1,188,35.72,131,0,0,70,0,3
"164",61,"train",0,188,40.15,117,64,4,45,0,3
"165",61,"bus",0,188,19.37,149,58,8,45,0,3
"166",61,"car",1,188,35.72,131,0,0,45,0,3
"167",62,"train",0,188,40.15,117,64,4,25,0,3
"168",62,"bus",0,188,19.37,149,58,8,25,0,3
"169",62,"car",1,188,35.72,131,0,0,25,0,3
"170",63,"train",0,188,40.15,117,64,4,70,0,3
"171",63,"bus",0,188,19.37,149,58,8,70,0,3
"172",63,"car",1,188,35.72,131,0,0,70,0,3
"173",64,"train",0,188,40.15,117,64,4,35,0,3
"174",64,"bus",0,188,19.37,149,58,8,35,0,3
"175",64,"car",1,188,35.72,131,0,0,35,0,3
"176",65,"train",0,188,40.15,117,64,4,70,0,3
"177",65,"bus",0,188,19.37,149,58,8,70,0,3
"178",65,"car",1,188,35.72,131,0,0,70,0,3
"179",66,"train",0,188,40.15,117,64,4,45,0,3
"180",66,"bus",0,188,19.37,149,58,8,45,0,3
"181",66,"car",1,188,35.72,131,0,0,45,0,3
"182",67,"train",0,188,40.15,117,64,4,55,0,3
"183",67,"bus",0,188,19.37,149,58,8,55,0,3
"184",67,"car",1,188,35.72,131,0,0,55,0,3
"185",68,"train",0,188,40.65,117,68,4,45,0,3
"186",68,"bus",0,188,19.87,149,63,8,45,0,3
"187",68,"car",1,188,35.72,131,0,0,45,0,3
"188",69,"train",0,188,40.65,117,68,4,25,0,3
"189",69,"bus",0,188,19.87,149,63,8,25,0,3
"190",69,"car",1,188,35.72,131,0,0,25,0,3
"191",70,"train",0,188,40.65,117,68,4,35,0,3
"192",70,"bus",0,188,19.87,149,63,8,35,0,3
"193",70,"car",1,188,35.72,131,0,0,35,0,3
"194",71,"train",0,231,44.65,117,94,4,25,0,3
"195",71,"bus",0,231,19.87,149,88,8,25,0,3
"196",71,"car",1,231,43.89,150,0,0,25,0,3
"197",72,"train",0,231,44.15,117,89,4,45,0,2
"198",72,"car",1,231,43.89,153,0,0,45,0,2
"199",73,"train",0,231,44.15,117,89,4,35,0,2
"200",73,"car",1,231,43.89,153,0,0,35,0,2
"201",74,"train",0,231,44.15,117,89,4,70,0,2
"202",74,"car",1,231,43.89,153,0,0,70,0,2
"203",75,"train",0,231,44.15,117,89,4,70,0,2
"204",75,"car",1,231,43.89,153,0,0,70,0,2
"205",76,"train",0,258,46.65,174,64,4,45,0,3
"206",76,"air",0,258,158.2,56,139,9,45,0,3
"207",76,"car",1,258,49.02,166,0,0,45,0,3
"208",77,"train",0,267,48.65,174,64,4,55,0,3
"209",77,"air",0,267,159.2,56,139,9,55,0,3
"210",77,"car",1,267,50.73,174,0,0,55,0,3
"211",78,"train",0,267,48.65,174,64,4,55,0,3
"212",78,"air",0,267,159.2,56,139,9,55,0,3
"213",78,"car",1,267,50.73,174,0,0,55,0,3
"214",79,"train",1,279,46.65,260,64,2,55,0,3
"215",79,"air",0,279,159.2,56,129,9,55,0,3
"216",79,"car",0,279,53.01,178,0,0,55,0,3
"217",80,"train",0,279,46.65,260,64,2,45,0,3
"218",80,"air",0,279,159.2,56,129,9,45,0,3
"219",80,"car",1,279,53.01,178,0,0,45,0,3
"220",81,"train",0,279,46.65,260,64,2,55,0,3
"221",81,"air",0,279,159.2,56,129,9,55,0,3
"222",81,"car",1,279,53.01,178,0,0,55,0,3
"223",82,"train",0,283,47.65,260,66,2,70,0,3
"224",82,"air",0,283,154.2,56,134,9,70,0,3
"225",82,"car",1,283,53.77,184,0,0,70,0,3
"226",83,"train",0,291,48.65,260,77,2,55,0,3
"227",83,"air",0,291,159.2,56,139,9,55,0,3
"228",83,"car",1,291,55.29,188,0,0,55,0,3
"229",84,"train",0,291,48.65,260,77,2,45,0,3
"230",84,"air",0,291,159.2,56,139,9,45,0,3
"231",84,"car",1,291,55.29,188,0,0,45,0,3
"232",85,"train",0,291,48.65,260,77,2,55,0,3
"233",85,"air",0,291,159.2,56,139,9,55,0,3
"234",85,"car",1,291,55.29,188,0,0,55,0,3
"235",86,"train",0,296,50.05,281,59,2,35,0,3
"236",86,"air",0,296,156.9,56,124,9,35,0,3
"237",86,"car",1,296,56.24,200,0,0,35,0,3
"238",87,"train",0,296,50.05,281,59,2,45,0,3
"239",87,"air",0,296,156.9,56,124,9,45,0,3
"240",87,"car",1,296,56.24,200,0,0,45,0,3
"241",88,"train",0,296,50.05,281,59,2,70,0,3
"242",88,"air",0,296,156.9,56,124,9,70,0,3
"243",88,"car",1,296,56.24,200,0,0,70,0,3
"244",89,"train",0,296,50.05,281,59,2,70,0,3
"245",89,"air",0,296,156.9,56,124,9,70,0,3
"246",89,"car",1,296,56.24,200,0,0,70,0,3
"247",90,"train",0,317,53.05,281,74,2,45,0,3
"248",90,"air",0,317,159.2,56,139,9,45,0,3
"249",90,"car",1,317,60.23,210,0,0,45,0,3
"250",91,"train",0,291,57.65,268,69,2,70,0,3
"251",91,"air",0,291,146.2,56,123,9,70,0,3
"252",91,"car",1,291,55.29,194,0,0,70,0,3
"253",92,"train",0,291,57.65,268,69,2,70,0,3
"254",92,"air",0,291,146.2,56,123,9,70,0,3
"255",92,"car",1,291,55.29,194,0,0,70,0,3
"256",93,"train",0,291,57.65,268,69,2,55,0,3
"257",93,"air",0,291,146.2,56,123,9,55,0,3
"258",93,"car",1,291,55.29,194,0,0,55,0,3
"259",94,"train",0,291,57.65,268,69,2,25,0,3
"260",94,"air",0,291,146.2,56,123,9,25,0,3
"261",94,"car",1,291,55.29,194,0,0,25,0,3
"262",95,"train",0,300,59.65,209,74,4,70,0,3
"263",95,"air",0,300,150.2,56,109,9,70,0,3
"264",95,"car",1,300,57,201,0,0,70,0,3
"265",96,"train",0,313,59.65,209,74,4,5,0,3
"266",96,"air",0,313,150.2,56,109,9,5,0,3
"267",96,"car",1,313,59.47,210,0,0,5,0,3
"268",97,"train",0,313,59.65,209,74,4,35,0,3
"269",97,"air",0,313,150.2,56,109,9,35,0,3
"270",97,"car",1,313,59.47,210,0,0,35,0,3
"271",98,"train",0,300,55.65,209,69,4,35,0,3
"272",98,"air",0,300,149.55,56,104,9,35,0,3
"273",98,"car",1,300,57,199,0,0,35,0,3
"274",99,"train",0,300,55.65,209,69,4,55,0,3
"275",99,"air",0,300,149.55,56,104,9,55,0,3
"276",99,"car",1,300,57,199,0,0,55,0,3
"277",100,"train",0,300,55.65,209,69,4,70,0,3
"278",100,"air",0,300,149.55,56,104,9,70,0,3
"279",100,"car",1,300,57,199,0,0,70,0,3
"280",101,"train",0,317,57.25,215,63,4,70,0,3
"281",101,"air",1,317,146.2,56,94,9,70,0,3
"282",101,"car",0,317,60.23,214,0,0,70,0,3
"283",102,"train",0,317,57.25,215,63,4,70,0,3
"284",102,"air",0,317,146.2,56,94,9,70,0,3
"285",102,"car",1,317,60.23,214,0,0,70,0,3
"286",103,"train",0,317,57.25,215,63,4,45,0,3
"287",103,"air",0,317,146.2,56,94,9,45,0,3
"288",103,"car",1,317,60.23,214,0,0,45,0,3
"289",104,"train",0,317,57.25,215,63,4,55,0,3
"290",104,"air",0,317,146.2,56,94,9,55,0,3
"291",104,"car",1,317,60.23,214,0,0,55,0,3
"292",105,"train",0,317,57.25,215,63,4,70,0,3
"293",105,"air",0,317,146.2,56,94,9,70,0,3
"294",105,"car",1,317,60.23,214,0,0,70,0,3
"295",106,"train",0,317,57.25,215,63,4,55,0,3
"296",106,"air",0,317,146.2,56,94,9,55,0,3
"297",106,"car",1,317,60.23,214,0,0,55,0,3
"298",107,"train",0,317,57.25,215,63,4,55,0,3
"299",107,"air",0,317,146.2,56,94,9,55,0,3
"300",107,"car",1,317,60.23,214,0,0,55,0,3
"301",108,"train",0,320,58.75,215,79,4,70,0,3
"302",108,"air",0,320,146.2,56,100,9,70,0,3
"303",108,"car",1,320,60.8,216,0,0,70,0,3
"304",109,"train",0,377,58.25,215,74,4,45,0,4
"305",109,"air",1,377,142.8,56,85,9,45,0,4
"306",109,"bus",0,377,27.52,301,63,8,45,0,4
"307",109,"car",0,377,71.63,262,0,0,45,0,4
"308",110,"train",0,377,58.25,215,74,4,70,0,4
"309",110,"air",1,377,142.8,56,85,9,70,0,4
"310",110,"bus",0,377,27.52,301,63,8,70,0,4
"311",110,"car",0,377,71.63,262,0,0,70,0,4
"312",111,"train",0,377,58.25,215,74,4,35,0,4
"313",111,"air",1,377,142.8,56,85,9,35,0,4
"314",111,"bus",0,377,27.52,301,63,8,35,0,4
"315",111,"car",0,377,71.63,262,0,0,35,0,4
"316",112,"train",0,377,58.25,215,74,4,70,0,4
"317",112,"air",1,377,142.8,56,85,9,70,0,4
"318",112,"bus",0,377,27.52,301,63,8,70,0,4
"319",112,"car",0,377,71.63,262,0,0,70,0,4
"320",113,"train",0,377,58.25,215,74,4,70,0,4
"321",113,"air",1,377,142.8,56,85,9,70,0,4
"322",113,"bus",0,377,27.52,301,63,8,70,0,4
"323",113,"car",0,377,71.63,262,0,0,70,0,4
"324",114,"train",0,377,58.25,215,74,4,55,0,4
"325",114,"air",1,377,142.8,56,85,9,55,0,4
"326",114,"bus",0,377,27.52,301,63,8,55,0,4
"327",114,"car",0,377,71.63,262,0,0,55,0,4
"328",115,"train",0,377,58.25,215,74,4,25,0,4
"329",115,"air",1,377,142.8,56,85,9,25,0,4
"330",115,"bus",0,377,27.52,301,63,8,25,0,4
"331",115,"car",0,377,71.63,262,0,0,25,0,4
"332",116,"train",0,377,58.25,215,74,4,70,0,4
"333",116,"air",1,377,142.8,56,85,9,70,0,4
"334",116,"bus",0,377,27.52,301,63,8,70,0,4
"335",116,"car",0,377,71.63,262,0,0,70,0,4
"336",117,"train",0,377,58.25,215,74,4,70,0,4
"337",117,"air",1,377,142.8,56,85,9,70,0,4
"338",117,"bus",0,377,27.52,301,63,8,70,0,4
"339",117,"car",0,377,71.63,262,0,0,70,0,4
"340",118,"train",0,377,58.25,215,74,4,45,0,4
"341",118,"air",1,377,142.8,56,85,9,45,0,4
"342",118,"bus",0,377,27.52,301,63,8,45,0,4
"343",118,"car",0,377,71.63,262,0,0,45,0,4
"344",119,"train",0,377,58.25,215,74,4,70,0,4
"345",119,"air",0,377,142.8,56,85,9,70,0,4
"346",119,"bus",0,377,27.52,301,63,8,70,0,4
"347",119,"car",1,377,71.63,262,0,0,70,0,4
"348",120,"train",0,377,58.25,215,74,4,25,0,4
"349",120,"air",0,377,142.8,56,85,9,25,0,4
"350",120,"bus",0,377,27.52,301,63,8,25,0,4
"351",120,"car",1,377,71.63,262,0,0,25,0,4
"352",121,"train",0,377,58.25,215,74,4,70,0,4
"353",121,"air",0,377,142.8,56,85,9,70,0,4
"354",121,"bus",0,377,27.52,301,63,8,70,0,4
"355",121,"car",1,377,71.63,262,0,0,70,0,4
"356",122,"train",0,377,58.25,215,74,4,45,0,4
"357",122,"air",0,377,142.8,56,85,9,45,0,4
"358",122,"bus",0,377,27.52,301,63,8,45,0,4
"359",122,"car",1,377,71.63,262,0,0,45,0,4
"360",123,"train",0,377,58.25,215,74,4,70,0,4
"361",123,"air",0,377,142.8,56,85,9,70,0,4
"362",123,"bus",0,377,27.52,301,63,8,70,0,4
"363",123,"car",1,377,71.63,262,0,0,70,0,4
"364",124,"train",0,377,58.25,215,74,4,15,0,4
"365",124,"air",0,377,142.8,56,85,9,15,0,4
"366",124,"bus",0,377,27.52,301,63,8,15,0,4
"367",124,"car",1,377,71.63,262,0,0,15,0,4
"368",125,"train",0,377,58.25,215,74,4,70,0,4
"369",125,"air",0,377,142.8,56,85,9,70,0,4
"370",125,"bus",0,377,27.52,301,63,8,70,0,4
"371",125,"car",1,377,71.63,262,0,0,70,0,4
"372",126,"train",0,377,58.25,215,74,4,55,0,4
"373",126,"air",0,377,142.8,56,85,9,55,0,4
"374",126,"bus",0,377,27.52,301,63,8,55,0,4
"375",126,"car",1,377,71.63,262,0,0,55,0,4
"376",127,"train",0,377,58.25,215,74,4,35,0,4
"377",127,"air",0,377,142.8,56,85,9,35,0,4
"378",127,"bus",0,377,27.52,301,63,8,35,0,4
"379",127,"car",1,377,71.63,262,0,0,35,0,4
"380",128,"train",0,377,58.25,215,74,4,35,0,4
"381",128,"air",0,377,142.8,56,85,9,35,0,4
"382",128,"bus",0,377,27.52,301,63,8,35,0,4
"383",128,"car",1,377,71.63,262,0,0,35,0,4
"384",129,"train",0,387,58.25,316,59,2,55,0,4
"385",129,"air",0,387,145.8,56,85,9,55,0,4
"386",129,"bus",0,387,26.67,301,58,8,55,0,4
"387",129,"car",1,387,73.53,251,0,0,55,0,4
"388",130,"train",0,387,58.25,316,59,2,45,0,4
"389",130,"air",0,387,145.8,56,85,9,45,0,4
"390",130,"bus",0,387,26.67,301,58,8,45,0,4
"391",130,"car",1,387,73.53,251,0,0,45,0,4
"392",131,"train",0,404,60.25,316,74,2,70,0,4
"393",131,"air",0,404,146.2,56,94,9,70,0,4
"394",131,"bus",0,404,26.67,301,93,8,70,0,4
"395",131,"car",1,404,76.76,265,0,0,70,0,4
"396",132,"train",1,365,60.85,237,94,4,70,1,4
"397",132,"air",0,365,151.2,56,77,9,70,1,4
"398",132,"bus",0,365,27.82,301,83,8,70,1,4
"399",132,"car",0,365,69.35,245,0,0,70,1,4
"400",133,"train",0,365,60.85,237,94,4,55,1,4
"401",133,"air",1,365,151.2,56,77,9,55,1,4
"402",133,"bus",0,365,27.82,301,83,8,55,1,4
"403",133,"car",0,365,69.35,245,0,0,55,1,4
"404",134,"train",0,365,60.85,237,94,4,55,1,4
"405",134,"air",1,365,151.2,56,77,9,55,1,4
"406",134,"bus",0,365,27.82,301,83,8,55,1,4
"407",134,"car",0,365,69.35,245,0,0,55,1,4
"408",135,"train",0,365,60.85,237,94,4,70,1,4
"409",135,"air",1,365,151.2,56,77,9,70,1,4
"410",135,"bus",0,365,27.82,301,83,8,70,1,4
"411",135,"car",0,365,69.35,245,0,0,70,1,4
"412",136,"train",0,365,60.85,237,94,4,70,1,4
"413",136,"air",0,365,151.2,56,77,9,70,1,4
"414",136,"bus",0,365,27.82,301,83,8,70,1,4
"415",136,"car",1,365,69.35,245,0,0,70,1,4
"416",137,"train",0,365,60.85,237,94,4,45,1,4
"417",137,"air",0,365,151.2,56,77,9,45,1,4
"418",137,"bus",0,365,27.82,301,83,8,45,1,4
"419",137,"car",1,365,69.35,245,0,0,45,1,4
"420",138,"train",0,365,60.85,237,94,4,70,1,4
"421",138,"air",0,365,151.2,56,77,9,70,1,4
"422",138,"bus",0,365,27.82,301,83,8,70,1,4
"423",138,"car",1,365,69.35,245,0,0,70,1,4
"424",139,"train",1,354,59,237,69,4,35,1,4
"425",139,"air",0,354,155.8,56,97,9,35,1,4
"426",139,"bus",0,354,27.34,301,68,8,35,1,4
"427",139,"car",0,354,67.26,231,0,0,35,1,4
"428",140,"train",1,354,59,237,69,4,15,1,4
"429",140,"air",0,354,155.8,56,97,9,15,1,4
"430",140,"bus",0,354,27.34,301,68,8,15,1,4
"431",140,"car",0,354,67.26,231,0,0,15,1,4
"432",141,"train",1,354,59,237,69,4,55,1,4
"433",141,"air",0,354,155.8,56,97,9,55,1,4
"434",141,"bus",0,354,27.34,301,68,8,55,1,4
"435",141,"car",0,354,67.26,231,0,0,55,1,4
"436",142,"train",1,354,59,237,69,4,70,1,4
"437",142,"air",0,354,155.8,56,97,9,70,1,4
"438",142,"bus",0,354,27.34,301,68,8,70,1,4
"439",142,"car",0,354,67.26,231,0,0,70,1,4
"440",143,"train",1,354,59,237,69,4,70,1,4
"441",143,"air",0,354,155.8,56,97,9,70,1,4
"442",143,"bus",0,354,27.34,301,68,8,70,1,4
"443",143,"car",0,354,67.26,231,0,0,70,1,4
"444",144,"train",1,354,59,237,69,4,45,1,4
"445",144,"air",0,354,155.8,56,97,9,45,1,4
"446",144,"bus",0,354,27.34,301,68,8,45,1,4
"447",144,"car",0,354,67.26,231,0,0,45,1,4
"448",145,"train",1,354,59,237,69,4,70,1,4
"449",145,"air",0,354,155.8,56,97,9,70,1,4
"450",145,"bus",0,354,27.34,301,68,8,70,1,4
"451",145,"car",0,354,67.26,231,0,0,70,1,4
"452",146,"train",1,354,59,237,69,4,35,1,4
"453",146,"air",0,354,155.8,56,97,9,35,1,4
"454",146,"bus",0,354,27.34,301,68,8,35,1,4
"455",146,"car",0,354,67.26,231,0,0,35,1,4
"456",147,"train",1,354,59,237,69,4,70,1,4
"457",147,"air",0,354,155.8,56,97,9,70,1,4
"458",147,"bus",0,354,27.34,301,68,8,70,1,4
"459",147,"car",0,354,67.26,231,0,0,70,1,4
"460",148,"train",1,354,59,237,69,4,45,1,4
"461",148,"air",0,354,155.8,56,97,9,45,1,4
"462",148,"bus",0,354,27.34,301,68,8,45,1,4
"463",148,"car",0,354,67.26,231,0,0,45,1,4
"464",149,"train",0,354,59,237,69,4,70,1,4
"465",149,"air",1,354,155.8,56,97,9,70,1,4
"466",149,"bus",0,354,27.34,301,68,8,70,1,4
"467",149,"car",0,354,67.26,231,0,0,70,1,4
"468",150,"train",0,354,59,237,69,4,70,1,4
"469",150,"air",1,354,155.8,56,97,9,70,1,4
"470",150,"bus",0,354,27.34,301,68,8,70,1,4
"471",150,"car",0,354,67.26,231,0,0,70,1,4
"472",151,"train",0,354,59,237,69,4,70,1,4
"473",151,"air",1,354,155.8,56,97,9,70,1,4
"474",151,"bus",0,354,27.34,301,68,8,70,1,4
"475",151,"car",0,354,67.26,231,0,0,70,1,4
"476",152,"train",0,354,59,237,69,4,70,1,4
"477",152,"air",1,354,155.8,56,97,9,70,1,4
"478",152,"bus",0,354,27.34,301,68,8,70,1,4
"479",152,"car",0,354,67.26,231,0,0,70,1,4
"480",153,"train",0,354,59,237,69,4,70,1,4
"481",153,"air",1,354,155.8,56,97,9,70,1,4
"482",153,"bus",0,354,27.34,301,68,8,70,1,4
"483",153,"car",0,354,67.26,231,0,0,70,1,4
"484",154,"train",0,354,59,237,69,4,70,1,4
"485",154,"air",1,354,155.8,56,97,9,70,1,4
"486",154,"bus",0,354,27.34,301,68,8,70,1,4
"487",154,"car",0,354,67.26,231,0,0,70,1,4
"488",155,"train",0,354,59,237,69,4,55,1,4
"489",155,"air",1,354,155.8,56,97,9,55,1,4
"490",155,"bus",0,354,27.34,301,68,8,55,1,4
"491",155,"car",0,354,67.26,231,0,0,55,1,4
"492",156,"train",0,354,59,237,69,4,70,1,4
"493",156,"air",1,354,155.8,56,97,9,70,1,4
"494",156,"bus",0,354,27.34,301,68,8,70,1,4
"495",156,"car",0,354,67.26,231,0,0,70,1,4
