record_id,session_id,consumer_id,car,purchase,gender,income,speed,discount,price
15,15,15,European,1,1,24.8,7,0.84,30
16,16,16,American,0,1,21.6,10,0.82,-126
16,16,16,Japanese,1,1,21.6,8,0.82,80
16,16,16,European,0,1,21.6,7,0.82,30
16,16,16,Korean,0,1,21.6,8,0.82,10
17,17,17,American,1,0,43.3,10,0.98,100
17,17,17,Japanese,0,0,43.3,8,0.98,90
17,17,17,European,0,0,43.3,7,0.98,70
17,17,17,Korean,0,0,43.3,8,0.98,20
18,18,18,American,0,0,44.4,10,0.94,90
18,18,18,Japanese,1,0,44.4,8,0.94,60
18,18,18,European,0,0,44.4,7,0.94,30
19,19,19,American,0,1,45.300003,10,0.92,110
19,19,19,Japanese,0,1,45.300003,8,0.92,80
19,19,19,European,0,1,45.300003,7,0.92,10
19,19,19,Korean,1,1,45.300003,8,0.92,10
20,20,20,American,0,1,48.8,10,0.86,20
20,20,20,Japanese,0,1,48.8,8,0.86,10
20,20,20,European,1,1,48.8,7,0.86,50
20,20,20,Korean,0,1,48.8,8,0.86,10
21,21,21,American,1,1,44.7,10,0.98,70
21,21,21,Japanese,0,1,44.7,8,0.98,50
21,21,21,European,0,1,44.7,7,0.98,20
22,22,22,American,1,1,57.5,10,0.81,70
22,22,22,Japanese,0,1,57.5,8,0.81,40
22,22,22,European,0,1,57.5,7,0.81,30
22,22,22,Korean,0,1,57.5,8,0.81,10
23,23,23,American,0,1,42.0,10,0.98,80
23,23,23,Japanese,1,1,42.0,8,0.98,60
23,23,23,European,0,1,42.0,7,0.98,30
23,23,23,Korean,0,1,42.0,8,0.98,20
24,24,24,American,1,1,40.5,10,0.88,70
24,24,24,Japanese,0,1,40.5,8,0.88,40
24,24,24,European,0,1,40.5,7,0.88,40
24,24,24,Korean,0,1,40.5,8,0.88,10
25,25,25,American,1,1,44.4,10,0.82,100
25,25,25,Japanese,0,1,44.4,8,0.82,80
25,25,25,European,0,1,44.4,7,0.82,20
25,25,25,Korean,0,1,44.4,8,0.82,10
26,26,26,American,0,0,50.300003,10,0.94,100
26,26,26,Japanese,1,0,50.300003,8,0.94,80
26,26,26,European,0,0,50.300003,7,0.94,20
26,26,26,Korean,0,0,50.300003,8,0.94,10
27,27,27,American,0,0,41.1,10,0.82,90
27,27,27,Japanese,1,0,41.1,8,0.82,80
27,27,27,European,0,0,41.1,7,0.82,20
28,28,28,American,1,1,49.0,10,0.88,80
28,28,28,Japanese,0,1,49.0,8,0.88,70
28,28,28,European,0,1,49.0,7,0.88,30
29,29,29,American,0,0,43.0,10,0.91,60
29,29,29,Japanese,0,0,43.0,8,0.91,40
29,29,29,European,0,0,43.0,7,0.91,20
29,29,29,Korean,1,0,43.0,8,0.91,50
30,30,30,American,0,1,43.8,10,0.91,50
30,30,30,Japanese,1,1,43.8,8,0.91,60
30,30,30,European,0,1,43.8,7,0.91,30
31,31,31,American,0,1,46.6,10,0.89,70
31,31,31,Japanese,1,1,46.6,8,0.89,70
31,31,31,European,0,1,46.6,7,0.89,50
31,31,31,Korean,0,1,46.6,8,0.89,10
32,32,32,American,0,1,45.7,10,0.95,90
32,32,32,Japanese,0,1,45.7,8,0.95,100
32,32,32,European,1,1,45.7,7,0.95,20
32,32,32,Korean,0,1,45.7,8,0.95,10
33,33,33,American,1,1,69.8,10,0.91,70
33,33,33,Japanese,0,1,69.8,8,0.91,80
33,33,33,European,0,1,69.8,7,0.91,40
33,33,33,Korean,0,1,69.8,8,0.91,10
34,34,34,American,0,0,45.6,10,0.84,60
34,34,34,Japanese,1,0,45.6,8,0.84,40
34,34,34,European,0,0,45.6,7,0.84,20
34,34,34,Korean,0,0,45.6,8,0.84,10
35,35,35,American,1,1,20.9,10,0.83,100
35,35,35,Japanese,0,1,20.9,8,0.83,100
35,35,35,European,0,1,20.9,7,0.83,50
35,35,35,Korean,0,1,20.9,8,0.83,10
36,36,36,American,0,1,30.6,10,0.89,70
36,36,36,Japanese,1,1,30.6,8,0.89,50
36,36,36,European,0,1,30.6,7,0.89,40
36,36,36,Korean,0,1,30.6,8,0.89,10
37,37,37,American,1,0,40.7,10,0.85,90
37,37,37,Japanese,0,0,40.7,8,0.85,70
37,37,37,European,0,0,40.7,7,0.85,30
37,37,37,Korean,0,0,40.7,8,0.85,10
38,38,38,American,0,1,46.699997,10,0.97,90
38,38,38,Japanese,0,1,46.699997,8,0.97,70
38,38,38,European,1,1,46.699997,7,0.97,50
38,38,38,Korean,0,1,46.699997,8,0.97,40
39,39,39,American,1,1,26.1,10,0.9,60
39,39,39,Japanese,0,1,26.1,8,0.9,30
39,39,39,European,0,1,26.1,7,0.9,20
39,39,39,Korean,0,1,26.1,8,0.9,10
40,40,40,American,1,1,32.7,10,0.92,80
40,40,40,Japanese,0,1,32.7,8,0.92,40
40,40,40,European,0,1,32.7,7,0.92,20
40,40,40,Korean,0,1,32.7,8,0.92,10
41,41,41,American,0,0,49.199997,10,0.98,90
41,41,41,Japanese,1,0,49.199997,8,0.98,50
41,41,41,European,0,0,49.199997,7,0.98,40
42,42,42,American,0,1,24.3,10,0.96,60
42,42,42,Japanese,1,1,24.3,8,0.96,60
42,42,42,European,0,1,24.3,7,0.96,30
42,42,42,Korean,0,1,24.3,8,0.96,10
43,43,43,American,0,0,39.0,10,0.93,90
43,43,43,Japanese,1,0,39.0,8,0.93,50
43,43,43,European,0,0,39.0,7,0.93,10
43,43,43,Korean,0,0,39.0,8,0.93,20
44,44,44,American,1,1,33.0,10,0.81,80
44,44,44,Japanese,0,1,33.0,8,0.81,60
44,44,44,European,0,1,33.0,7,0.81,40
45,45,45,American,1,1,20.3,10,0.87,60
45,45,45,Japanese,0,1,20.3,8,0.87,30
45,45,45,European,0,1,20.3,7,0.87,30
46,46,46,American,1,1,38.0,10,0.85,90
46,46,46,Japanese,0,1,38.0,8,0.85,50
46,46,46,European,0,1,38.0,7,0.85,20
46,46,46,Korean,0,1,38.0,8,0.85,10
47,47,47,American,0,0,60.4,10,0.89,90
47,47,47,Japanese,1,0,60.4,8,0.89,80
47,47,47,European,0,0,60.4,7,0.89,40
47,47,47,Korean,0,0,60.4,8,0.89,10
48,48,48,American,0,1,69.0,10,0.95,90
48,48,48,Japanese,1,1,69.0,8,0.95,90
48,48,48,European,0,1,69.0,7,0.95,20
49,49,49,American,1,1,27.7,10,0.83,40
49,49,49,Japanese,0,1,27.7,8,0.83,30
49,49,49,European,0,1,27.7,7,0.83,70
49,49,49,Korean,0,1,27.7,8,0.83,10
50,50,50,American,0,0,41.0,10,0.91,60
50,50,50,Japanese,0,0,41.0,8,0.91,70
50,50,50,European,0,0,41.0,7,0.91,20
50,50,50,Korean,1,0,41.0,8,0.91,10
51,51,51,American,1,1,65.6,10,0.94,90
51,51,51,Japanese,0,1,65.6,8,0.94,50
51,51,51,European,0,1,65.6,7,0.94,60
51,51,51,Korean,0,1,65.6,8,0.94,10
52,52,52,American,0,1,24.8,10,0.87,70
52,52,52,Japanese,1,1,24.8,8,0.87,80
52,52,52,European,0,1,24.8,7,0.87,30
53,53,53,American,0,1,21.6,10,0.96,110
53,53,53,Japanese,1,1,21.6,8,0.96,80
53,53,53,European,0,1,21.6,7,0.96,30
53,53,53,Korean,0,1,21.6,8,0.96,30
54,54,54,American,1,0,43.3,10,0.96,20
54,54,54,Japanese,0,0,43.3,8,0.96,20
54,54,54,European,0,0,43.3,7,0.96,50
55,55,55,American,0,0,44.4,10,0.85,100
55,55,55,Japanese,0,0,44.4,8,0.85,70
55,55,55,European,1,0,44.4,7,0.85,20
56,56,56,American,1,1,45.300003,10,0.81,60
56,56,56,Japanese,0,1,45.300003,8,0.81,40
56,56,56,European,0,1,45.300003,7,0.81,10
57,57,57,American,0,1,48.8,10,0.89,60
57,57,57,Japanese,1,1,48.8,8,0.89,50
57,57,57,European,0,1,48.8,7,0.89,20
57,57,57,Korean,0,1,48.8,8,0.89,20
58,58,58,American,1,1,44.7,10,0.85,110
58,58,58,Japanese,0,1,44.7,8,0.85,80
58,58,58,European,0,1,44.7,7,0.85,20
58,58,58,Korean,0,1,44.7,8,0.85,10
59,59,59,American,0,1,57.5,10,0.83,90
59,59,59,Japanese,1,1,57.5,8,0.83,90
59,59,59,European,0,1,57.5,7,0.83,30
59,59,59,Korean,0,1,57.5,8,0.83,10
60,60,60,American,1,1,42.0,10,0.96,90
60,60,60,Japanese,0,1,42.0,8,0.96,80
60,60,60,European,0,1,42.0,7,0.96,30
61,61,61,American,0,1,40.5,10,0.93,90
61,61,61,Japanese,1,1,40.5,8,0.93,80
61,61,61,European,0,1,40.5,7,0.93,30
62,62,62,American,1,1,44.4,10,0.94,30
62,62,62,Japanese,0,1,44.4,8,0.94,30
62,62,62,European,0,1,44.4,7,0.94,20
62,62,62,Korean,0,1,44.4,8,0.94,10
63,63,63,American,1,0,50.300003,10,0.86,40
63,63,63,Japanese,0,0,50.300003,8,0.86,30
63,63,63,European,0,0,50.300003,7,0.86,20
64,64,64,American,0,0,41.1,10,0.87,90
64,64,64,Japanese,0,0,41.1,8,0.87,50
64,64,64,European,1,0,41.1,7,0.87,20
64,64,64,Korean,0,0,41.1,8,0.87,10
65,65,65,American,0,1,49.0,10,0.89,80
65,65,65,Japanese,1,1,49.0,8,0.89,50
65,65,65,European,0,1,49.0,7,0.89,30
65,65,65,Korean,0,1,49.0,8,0.89,20
66,66,66,American,1,0,43.0,10,0.89,70
66,66,66,Japanese,0,0,43.0,8,0.89,40
66,66,66,European,0,0,43.0,7,0.89,20
67,67,67,American,1,1,43.8,10,0.97,100
67,67,67,Japanese,0,1,43.8,8,0.97,60
67,67,67,European,0,1,43.8,7,0.97,30
68,68,68,American,0,1,46.6,10,0.87,30
68,68,68,Japanese,1,1,46.6,8,0.87,30
68,68,68,European,0,1,46.6,7,0.87,40
68,68,68,Korean,0,1,46.6,8,0.87,10
69,69,69,American,1,1,45.7,10,1.0,90
69,69,69,Japanese,0,1,45.7,8,1.0,90
69,69,69,European,0,1,45.7,7,1.0,20
70,70,70,American,0,1,69.8,10,0.8,110
70,70,70,Japanese,0,1,69.8,8,0.8,70
70,70,70,European,1,1,69.8,7,0.8,50
71,71,71,American,1,0,45.6,10,0.95,-126
71,71,71,Japanese,0,0,45.6,8,0.95,60
71,71,71,European,0,0,45.6,7,0.95,30
71,71,71,Korean,0,0,45.6,8,0.95,50
72,72,72,American,0,1,20.9,10,1.0,100
72,72,72,Japanese,1,1,20.9,8,1.0,100
72,72,72,European,0,1,20.9,7,1.0,20
73,73,73,American,1,1,30.6,10,0.93,110
73,73,73,Japanese,0,1,30.6,8,0.93,70
73,73,73,European,0,1,30.6,7,0.93,50
74,74,74,American,0,0,40.7,10,0.85,100
74,74,74,Japanese,1,0,40.7,8,0.85,90
74,74,74,European,0,0,40.7,7,0.85,30
75,75,75,American,1,1,46.699997,10,0.86,50
75,75,75,Japanese,0,1,46.699997,8,0.86,30
75,75,75,European,0,1,46.699997,7,0.86,20
76,76,76,American,0,1,26.1,10,0.8,100
76,76,76,Japanese,1,1,26.1,8,0.8,110
76,76,76,European,0,1,26.1,7,0.8,20
76,76,76,Korean,0,1,26.1,8,0.8,10
77,77,77,American,1,1,32.7,10,0.82,80
77,77,77,Japanese,0,1,32.7,8,0.82,50
77,77,77,European,0,1,32.7,7,0.82,20
77,77,77,Korean,0,1,32.7,8,0.82,10
78,78,78,American,1,0,49.199997,10,0.96,80
78,78,78,Japanese,0,0,49.199997,8,0.96,50
78,78,78,European,0,0,49.199997,7,0.96,40
78,78,78,Korean,0,0,49.199997,8,0.96,10
79,79,79,American,0,1,24.3,10,0.94,70
79,79,79,Japanese,1,1,24.3,8,0.94,40
79,79,79,European,0,1,24.3,7,0.94,30
79,79,79,Korean,0,1,24.3,8,0.94,10
80,80,80,American,0,0,39.0,10,0.85,80
80,80,80,Japanese,1,0,39.0,8,0.85,50
80,80,80,European,0,0,39.0,7,0.85,10
80,80,80,Korean,0,0,39.0,8,0.85,10
81,81,81,American,0,1,33.0,10,0.9,60
81,81,81,Japanese,1,1,33.0,8,0.9,50
81,81,81,European,0,1,33.0,7,0.9,40
82,82,82,American,1,1,20.3,10,0.97,60
82,82,82,Japanese,0,1,20.3,8,0.97,40
82,82,82,European,0,1,20.3,7,0.97,30
83,83,83,American,0,1,38.0,10,0.85,90
83,83,83,Japanese,1,1,38.0,8,0.85,70
83,83,83,European,0,1,38.0,7,0.85,20
84,84,84,American,1,0,60.4,10,0.99,-126
84,84,84,Japanese,0,0,60.4,8,0.99,80
84,84,84,European,0,0,60.4,7,0.99,40
84,84,84,Korean,0,0,60.4,8,0.99,10
85,85,85,American,1,1,69.0,10,0.85,80
85,85,85,Japanese,0,1,69.0,8,0.85,60
85,85,85,European,0,1,69.0,7,0.85,20
85,85,85,Korean,0,1,69.0,8,0.85,10
86,86,86,American,0,1,27.7,10,0.95,90
86,86,86,Japanese,1,1,27.7,8,0.95,60
86,86,86,European,0,1,27.7,7,0.95,50
87,87,87,American,0,1,41.0,10,0.89,20
87,87,87,Japanese,0,1,41.0,8,0.89,20
87,87,87,European,1,1,41.0,7,0.89,60
87,87,87,Korean,0,1,41.0,8,0.89,10
88,88,88,American,1,1,65.6,10,0.98,90
88,88,88,Japanese,0,1,65.6,8,0.98,50
88,88,88,European,0,1,65.6,7,0.98,20
89,89,89,American,1,1,24.8,10,0.81,-126
89,89,89,Japanese,0,1,24.8,8,0.81,90
89,89,89,European,0,1,24.8,7,0.81,30
89,89,89,Korean,0,1,24.8,8,0.81,10
90,90,90,American,1,1,21.6,10,0.94,100
90,90,90,Japanese,0,1,21.6,8,0.94,100
90,90,90,European,0,1,21.6,7,0.94,30
90,90,90,Korean,0,1,21.6,8,0.94,10
91,91,91,American,1,0,43.3,10,0.82,30
91,91,91,Japanese,0,0,43.3,8,0.82,30
91,91,91,European,0,0,43.3,7,0.82,60
91,91,91,Korean,0,0,43.3,8,0.82,20
92,92,92,American,0,0,44.4,10,0.93,80
92,92,92,Japanese,1,0,44.4,8,0.93,50
92,92,92,European,0,0,44.4,7,0.93,20
92,92,92,Korean,0,0,44.4,8,0.93,20
93,93,93,American,0,1,45.300003,10,0.81,80
93,93,93,Japanese,0,1,45.300003,8,0.81,80
93,93,93,European,1,1,45.300003,7,0.81,10
93,93,93,Korean,0,1,45.300003,8,0.81,10
94,94,94,American,0,1,48.8,10,0.84,30
94,94,94,Japanese,1,1,48.8,8,0.84,20
94,94,94,European,0,1,48.8,7,0.84,40
95,95,95,American,1,1,44.7,10,0.83,110
95,95,95,Japanese,0,1,44.7,8,0.83,100
95,95,95,European,0,1,44.7,7,0.83,20
95,95,95,Korean,0,1,44.7,8,0.83,10
96,96,96,American,1,1,57.5,10,0.86,100
96,96,96,Japanese,0,1,57.5,8,0.86,70
96,96,96,European,0,1,57.5,7,0.86,20
96,96,96,Korean,0,1,57.5,8,0.86,10
97,97,97,American,1,1,42.0,10,0.95,110
97,97,97,Japanese,0,1,42.0,8,0.95,110
97,97,97,European,0,1,42.0,7,0.95,30
97,97,97,Korean,0,1,42.0,8,0.95,30
98,98,98,American,1,1,40.5,10,0.89,120
98,98,98,Japanese,0,1,40.5,8,0.89,100
98,98,98,European,0,1,40.5,7,0.89,20
99,99,99,American,0,1,44.4,10,0.83,110
99,99,99,Japanese,0,1,44.4,8,0.83,100
99,99,99,European,1,1,44.4,7,0.83,60
99,99,99,Korean,0,1,44.4,8,0.83,10
100,100,100,American,0,0,50.300003,10,1.0,90
100,100,100,Japanese,1,0,50.300003,8,1.0,70
100,100,100,European,0,0,50.300003,7,1.0,40
101,101,101,American,1,0,41.1,10,0.91,90
101,101,101,Japanese,0,0,41.1,8,0.91,80
101,101,101,European,0,0,41.1,7,0.91,20
102,102,102,American,0,1,49.0,10,0.84,120
102,102,102,Japanese,0,1,49.0,8,0.84,90
102,102,102,European,0,1,49.0,7,0.84,20
102,102,102,Korean,1,1,49.0,8,0.84,40
103,103,103,American,0,0,43.0,10,0.94,100
103,103,103,Japanese,1,0,43.0,8,0.94,60
103,103,103,European,0,0,43.0,7,0.94,20
104,104,104,American,1,1,43.8,10,0.92,60
104,104,104,Japanese,0,1,43.8,8,0.92,60
104,104,104,European,0,1,43.8,7,0.92,30
105,105,105,American,1,1,46.6,10,0.88,90
105,105,105,Japanese,0,1,46.6,8,0.88,50
105,105,105,European,0,1,46.6,7,0.88,40
105,105,105,Korean,0,1,46.6,8,0.88,10
106,106,106,American,0,1,45.7,10,0.88,90
106,106,106,Japanese,1,1,45.7,8,0.88,100
106,106,106,European,0,1,45.7,7,0.88,20
106,106,106,Korean,0,1,45.7,8,0.88,10
107,107,107,American,0,1,69.8,10,0.83,80
107,107,107,Japanese,1,1,69.8,8,0.83,50
107,107,107,European,0,1,69.8,7,0.83,60
107,107,107,Korean,0,1,69.8,8,0.83,30
108,108,108,American,0,0,45.6,10,0.93,110
108,108,108,Japanese,1,0,45.6,8,0.93,90
108,108,108,European,0,0,45.6,7,0.93,50
108,108,108,Korean,0,0,45.6,8,0.93,20
109,109,109,American,0,1,20.9,10,0.88,90
109,109,109,Japanese,0,1,20.9,8,0.88,90
109,109,109,European,0,1,20.9,7,0.88,40
109,109,109,Korean,1,1,20.9,8,0.88,30
110,110,110,American,0,1,30.6,10,0.98,100
110,110,110,Japanese,0,1,30.6,8,0.98,70
110,110,110,European,1,1,30.6,7,0.98,50
111,111,111,American,1,0,40.7,10,0.96,90
111,111,111,Japanese,0,0,40.7,8,0.96,90
111,111,111,European,0,0,40.7,7,0.96,30
112,112,112,American,0,1,46.699997,10,0.95,90
112,112,112,Japanese,1,1,46.699997,8,0.95,80
112,112,112,European,0,1,46.699997,7,0.95,30
112,112,112,Korean,0,1,46.699997,8,0.95,20
113,113,113,American,0,1,26.1,10,0.86,70
113,113,113,Japanese,0,1,26.1,8,0.86,40
113,113,113,European,1,1,26.1,7,0.86,20
114,114,114,American,0,1,32.7,10,0.89,80
114,114,114,Japanese,0,1,32.7,8,0.89,60
114,114,114,European,1,1,32.7,7,0.89,20
114,114,114,Korean,0,1,32.7,8,0.89,20
115,115,115,American,0,0,49.199997,10,0.98,110
115,115,115,Japanese,1,0,49.199997,8,0.98,100
115,115,115,European,0,0,49.199997,7,0.98,40
115,115,115,Korean,0,0,49.199997,8,0.98,10
116,116,116,American,0,1,24.3,10,0.86,70
116,116,116,Japanese,1,1,24.3,8,0.86,30
116,116,116,European,0,1,24.3,7,0.86,30
116,116,116,Korean,0,1,24.3,8,0.86,10
117,117,117,American,1,0,39.0,10,0.97,90
117,117,117,Japanese,0,0,39.0,8,0.97,80
117,117,117,European,0,0,39.0,7,0.97,10
117,117,117,Korean,0,0,39.0,8,0.97,10
118,118,118,American,0,0,33.0,10,0.88,-126
118,118,118,Japanese,0,0,33.0,8,0.88,60
118,118,118,European,0,0,33.0,7,0.88,40
118,118,118,Korean,1,0,33.0,8,0.88,50
119,119,119,American,1,1,20.3,10,0.83,60
119,119,119,Japanese,0,1,20.3,8,0.83,30
119,119,119,European,0,1,20.3,7,0.83,30
120,120,120,American,0,1,38.0,10,0.96,90
120,120,120,Japanese,0,1,38.0,8,0.96,60
120,120,120,European,1,1,38.0,7,0.96,20
120,120,120,Korean,0,1,38.0,8,0.96,10
121,121,121,American,0,0,60.4,10,0.84,50
121,121,121,Japanese,1,0,60.4,8,0.84,30
121,121,121,European,0,0,60.4,7,0.84,40
121,121,121,Korean,0,0,60.4,8,0.84,10
122,122,122,American,0,1,69.0,10,0.98,110
122,122,122,Japanese,0,1,69.0,8,0.98,90
122,122,122,European,1,1,69.0,7,0.98,20
123,123,123,American,1,1,27.7,10,0.97,100
123,123,123,Japanese,0,1,27.7,8,0.97,100
123,123,123,European,0,1,27.7,7,0.97,40
123,123,123,Korean,0,1,27.7,8,0.97,20
124,124,124,American,0,1,41.0,10,0.98,50
124,124,124,Japanese,0,1,41.0,8,0.98,30
124,124,124,European,1,1,41.0,7,0.98,20
125,125,125,American,1,1,65.6,10,0.96,90
125,125,125,Japanese,0,1,65.6,8,0.96,50
125,125,125,European,0,1,65.6,7,0.96,60
126,126,126,American,1,1,24.8,10,0.92,110
126,126,126,Japanese,0,1,24.8,8,0.92,80
126,126,126,European,0,1,24.8,7,0.92,30
127,127,127,American,1,1,21.6,10,0.93,90
127,127,127,Japanese,0,1,21.6,8,0.93,70
127,127,127,European,0,1,21.6,7,0.93,30
127,127,127,Korean,0,1,21.6,8,0.93,10
128,128,128,American,0,0,43.3,10,0.81,110
128,128,128,Japanese,0,0,43.3,8,0.81,70
128,128,128,European,1,0,43.3,7,0.81,40
128,128,128,Korean,0,0,43.3,8,0.81,10
129,129,129,American,1,0,44.4,10,0.85,50
129,129,129,Japanese,0,0,44.4,8,0.85,40
129,129,129,European,0,0,44.4,7,0.85,30
129,129,129,Korean,0,0,44.4,8,0.85,20
130,130,130,American,0,1,45.300003,10,0.96,60
130,130,130,Japanese,1,1,45.300003,8,0.96,50
130,130,130,European,0,1,45.300003,7,0.96,10
131,131,131,American,1,1,48.8,10,0.8,110
131,131,131,Japanese,0,1,48.8,8,0.8,80
131,131,131,European,0,1,48.8,7,0.8,20
132,132,132,American,0,1,44.7,10,0.86,110
132,132,132,Japanese,1,1,44.7,8,0.86,60
132,132,132,European,0,1,44.7,7,0.86,20
132,132,132,Korean,0,1,44.7,8,0.86,20
133,133,133,American,0,1,57.5,10,0.95,50
133,133,133,Japanese,1,1,57.5,8,0.95,40
133,133,133,European,0,1,57.5,7,0.95,40
133,133,133,Korean,0,1,57.5,8,0.95,10
134,134,134,American,0,1,42.0,10,0.92,50
134,134,134,Japanese,1,1,42.0,8,0.92,30
134,134,134,European,0,1,42.0,7,0.92,30
135,135,135,American,0,1,40.5,10,0.91,90
135,135,135,Japanese,1,1,40.5,8,0.91,100
135,135,135,European,0,1,40.5,7,0.91,20
136,136,136,American,0,1,44.4,10,0.97,90
136,136,136,Japanese,1,1,44.4,8,0.97,80
136,136,136,European,0,1,44.4,7,0.97,20
137,137,137,American,0,0,50.300003,10,0.88,60
137,137,137,Japanese,0,0,50.300003,8,0.88,40
137,137,137,European,1,0,50.300003,7,0.88,40
137,137,137,Korean,0,0,50.300003,8,0.88,10
138,138,138,American,0,0,41.1,10,0.96,90
138,138,138,Japanese,1,0,41.1,8,0.96,80
138,138,138,European,0,0,41.1,7,0.96,20
138,138,138,Korean,0,0,41.1,8,0.96,10
139,139,139,American,0,1,49.0,10,0.96,80
139,139,139,Japanese,1,1,49.0,8,0.96,70
139,139,139,European,0,1,49.0,7,0.96,30
139,139,139,Korean,0,1,49.0,8,0.96,10
140,140,140,American,0,0,43.0,10,0.85,100
140,140,140,Japanese,1,0,43.0,8,0.85,70
140,140,140,European,0,0,43.0,7,0.85,20
140,140,140,Korean,0,0,43.0,8,0.85,10
141,141,141,American,0,1,43.8,10,0.94,50
141,141,141,Japanese,0,1,43.8,8,0.94,50
141,141,141,European,1,1,43.8,7,0.94,30
141,141,141,Korean,0,1,43.8,8,0.94,10
142,142,142,American,0,0,,10,0.82,60
142,142,142,Japanese,0,1,46.6,8,0.82,50
142,142,142,European,1,1,46.6,7,0.82,40
142,142,142,Korean,0,1,46.6,8,0.82,10
143,143,143,American,1,1,45.7,10,0.82,90
143,143,143,Japanese,0,1,45.7,8,0.82,60
143,143,143,European,0,1,45.7,7,0.82,20
144,144,144,American,0,0,,10,0.83,50
144,144,144,Japanese,0,1,69.8,8,0.83,50
144,144,144,European,1,1,69.8,7,0.83,30
145,145,145,American,0,0,45.6,10,0.82,100
145,145,145,Japanese,1,0,45.6,8,0.82,70
145,145,145,European,0,0,45.6,7,0.82,40
145,145,145,Korean,0,0,45.6,8,0.82,10
146,146,146,American,0,1,20.9,10,0.9,90
146,146,146,Japanese,1,1,20.9,8,0.9,50
146,146,146,European,0,1,20.9,7,0.9,20
146,146,146,Korean,0,1,20.9,8,0.9,40
147,147,147,American,1,1,30.6,10,0.9,90
147,147,147,Japanese,0,1,30.6,8,0.9,90
147,147,147,European,0,1,30.6,7,0.9,40
147,147,147,Korean,0,1,30.6,8,0.9,10
148,148,148,American,1,0,40.7,10,0.92,90
148,148,148,Japanese,0,0,40.7,8,0.92,80
148,148,148,European,0,0,40.7,7,0.92,30
149,149,149,American,1,1,46.699997,10,0.86,30
149,149,149,Japanese,0,1,46.699997,8,0.86,10
149,149,149,European,0,1,46.699997,7,0.86,50
150,150,150,American,0,1,26.1,10,0.9,100
150,150,150,Japanese,1,1,26.1,8,0.9,80
150,150,150,European,0,1,26.1,7,0.9,20
151,151,151,American,0,1,32.7,10,0.98,80
151,151,151,Japanese,1,1,32.7,8,0.98,70
151,151,151,European,0,1,32.7,7,0.98,20
152,152,152,American,0,0,49.199997,10,0.99,100
152,152,152,Japanese,1,0,49.199997,8,0.99,70
152,152,152,European,0,0,49.199997,7,0.99,30
152,152,152,Korean,0,0,49.199997,8,0.99,10
153,153,153,American,1,1,24.3,10,0.96,60
153,153,153,Japanese,0,1,24.3,8,0.96,40
153,153,153,European,0,1,24.3,7,0.96,30
153,153,153,Korean,0,1,24.3,8,0.96,10
154,154,154,American,1,0,39.0,10,0.99,90
