ID,choice,tt1,tc1,hw1,ch1,tt2,tc2,hw2,ch2,hh_inc_abs,car_availability,commute,shopping,business,leisure
11429,2,18,5,60,0,23,4,15,2,90000,1,0,0,0,1
11429,2,20,5,15,2,23,4,30,0,90000,1,0,0,0,1
11429,2,30,5,60,2,25,6,60,1,90000,1,0,0,0,1
11429,2,25,5,60,0,20,6,30,0,90000,1,0,0,0,1
11429,1,25,4,15,1,21,5,60,1,90000,1,0,0,0,1
11429,1,25,4,15,0,17,5,60,0,90000,1,0,0,0,1
11429,2,25,4,30,1,17,5,60,0,90000,1,0,0,0,1
11429,1,24,5,30,2,34,4,60,0,90000,1,0,0,0,1
11934,1,39,13,15,1,29,15,15,2,167500,0,1,0,0,0
11934,1,31,10,60,0,21,13,60,2,167500,0,1,0,0,0
11934,1,23,14,15,0,32,12,60,0,167500,0,1,0,0,0
11934,1,44,10,15,1,35,11,15,2,167500,0,1,0,0,0
11934,2,29,13,60,2,39,10,30,0,167500,0,1,0,0,0
11934,2,32,10,15,1,24,13,30,1,167500,0,1,0,0,0
11934,1,29,13,15,1,36,11,30,0,167500,0,1,0,0,0
11934,1,31,13,30,0,39,10,30,2,167500,0,1,0,0,0
11934,2,36,10,60,1,27,12,15,1,167500,0,1,0,0,0
12049,1,43,35,30,0,51,32,30,1,137500,1,1,0,0,0
12049,1,26,36,60,0,35,32,15,2,137500,1,1,0,0,0
12049,2,35,32,30,0,30,38,15,2,137500,1,1,0,0,0
12049,2,45,38,60,2,38,42,60,1,137500,1,1,0,0,0
12049,2,37,40,60,0,30,46,30,0,137500,1,1,0,0,0
12049,2,31,35,60,1,37,30,15,1,137500,1,1,0,0,0
12049,1,37,30,15,0,26,36,60,0,137500,1,1,0,0,0
12049,1,26,39,60,0,37,35,30,1,137500,1,1,0,0,0
12049,2,51,32,60,0,35,36,30,2,137500,1,1,0,0,0
12063,2,19,3,60,2,14,4,15,1,10000,0,1,0,0,0
12063,1,18,3,60,1,14,4,60,1,10000,0,1,0,0,0
12063,2,14,4,30,2,18,3,60,0,10000,0,1,0,0,0
12063,1,19,3,30,0,14,4,15,1,10000,0,1,0,0,0
12063,2,13,4,15,1,19,3,30,2,10000,0,1,0,0,0
12063,2,15,5,30,2,21,3,15,2,10000,0,1,0,0,0
12063,1,21,3,15,2,16,4,60,0,10000,0,1,0,0,0
12063,1,26,3,30,0,20,4,15,1,10000,0,1,0,0,0
12063,1,18,3,15,1,13,4,30,1,10000,0,1,0,0,0
12083,2,57,20,60,2,43,22,15,1,70000,0,0,0,0,1
12083,1,54,21,60,1,43,28,60,1,70000,0,0,0,0,1
12083,1,54,20,60,0,41,22,30,2,70000,0,0,0,0,1
12083,1,57,21,30,0,43,28,15,1,70000,0,0,0,0,1
12083,2,57,21,30,2,40,23,15,1,70000,0,0,0,0,1
12083,2,44,34,30,2,63,25,15,2,70000,0,0,0,0,1
12083,2,63,21,15,2,47,24,60,0,70000,0,0,0,0,1
12083,2,78,25,30,0,59,29,15,1,70000,0,0,0,0,1
12083,2,54,20,15,1,38,23,30,1,70000,0,0,0,0,1
12359,2,26,12,15,2,35,10,15,1,112500,0,1,0,0,0
12359,1,27,8,60,0,19,10,60,2,112500,0,1,0,0,0
12359,2,29,10,60,0,20,11,15,0,112500,0,1,0,0,0
12359,1,39,8,15,1,31,9,15,2,112500,0,1,0,0,0
12359,2,26,10,60,2,35,8,30,0,112500,0,1,0,0,0
12359,2,21,10,30,1,29,8,15,1,112500,0,1,0,0,0
12359,2,31,9,30,0,25,10,15,1,112500,0,1,0,0,0
12359,2,35,8,30,2,28,10,30,0,112500,0,1,0,0,0
12359,1,24,9,15,1,31,8,60,1,112500,0,1,0,0,0
12375,2,20,2,30,1,17,3,30,0,112500,0,1,0,0,0
12375,2,14,2,15,2,10,3,60,0,112500,0,1,0,0,0
12375,1,11,3,15,2,14,2,30,0,112500,0,1,0,0,0
12375,2,17,3,60,2,15,4,60,1,112500,0,1,0,0,0
12375,2,14,3,60,0,11,4,30,0,112500,0,1,0,0,0
12375,2,12,3,60,1,14,2,15,1,112500,0,1,0,0,0
12375,2,10,3,60,0,14,2,15,0,112500,0,1,0,0,0
12375,1,10,3,60,0,14,2,30,1,112500,0,1,0,0,0
12375,2,14,3,30,2,20,2,60,0,112500,0,1,0,0,0
12407,1,9,4,15,0,6,5,30,1,90000,0,1,0,0,0
12407,1,8,4,30,1,6,5,60,2,90000,0,1,0,0,0
12407,2,10,3,15,2,7,4,15,0,90000,0,1,0,0,0
12407,2,7,4,30,1,5,5,30,0,90000,0,1,0,0,0
12407,2,6,6,30,1,8,4,15,0,90000,0,1,0,0,0
12407,2,6,5,15,2,7,4,15,2,90000,0,1,0,0,0
12407,2,7,3,30,2,6,4,30,1,90000,0,1,0,0,0
12407,1,6,5,15,0,7,4,60,1,90000,0,1,0,0,0
12407,2,7,5,15,2,8,4,15,1,90000,0,1,0,0,0
12409,2,8,8,60,2,6,9,15,1,70000,1,0,0,0,1
12409,1,7,9,60,1,6,12,60,1,70000,1,0,0,0,1
12409,1,7,8,60,0,5,9,30,2,70000,1,0,0,0,1
12409,1,8,9,30,0,6,12,15,1,70000,1,0,0,0,1
12409,1,5,10,15,1,8,9,30,2,70000,1,0,0,0,1
12409,1,8,10,15,2,6,14,30,2,70000,1,0,0,0,1
12409,2,8,9,15,2,6,10,60,0,70000,1,0,0,0,1
12409,2,8,12,15,1,10,10,30,0,70000,1,0,0,0,1
12409,1,7,8,15,1,5,9,30,1,70000,1,0,0,0,1
12423,2,47,6,30,1,40,7,30,0,30000,1,0,0,0,1
12423,1,24,7,60,0,32,6,15,2,30000,1,0,0,0,1
12423,2,28,8,15,2,32,6,30,0,30000,1,0,0,0,1
12423,1,35,9,60,1,41,8,60,2,30000,1,0,0,0,1
12423,1,27,9,30,0,34,8,60,0,30000,1,0,0,0,1
12423,1,29,7,60,1,34,6,15,1,30000,1,0,0,0,1
12423,2,34,6,15,0,24,7,60,0,30000,1,0,0,0,1
12423,1,24,8,60,0,34,7,30,1,30000,1,0,0,0,1
12423,1,47,6,60,0,33,7,30,2,30000,1,0,0,0,1
12445,2,80,13,60,2,60,14,15,1,90000,1,1,0,0,0
12445,1,60,18,60,1,76,14,60,1,90000,1,1,0,0,0
12445,1,57,14,30,2,76,13,60,0,90000,1,1,0,0,0
12445,2,60,18,15,1,80,14,30,0,90000,1,1,0,0,0
12445,1,56,15,15,1,80,14,30,2,90000,1,1,0,0,0
12445,2,62,22,30,2,88,17,15,2,90000,1,1,0,0,0
12445,1,66,16,60,0,88,14,15,2,90000,1,1,0,0,0
12445,1,82,19,15,1,109,17,30,0,90000,1,1,0,0,0
12445,2,53,15,30,1,76,13,15,1,90000,1,1,0,0,0
12505,1,60,16,30,0,70,14,30,1,70000,1,0,0,0,1
12505,1,36,16,60,0,49,14,15,2,70000,1,0,0,0,1
12505,1,49,14,30,0,41,17,15,2,70000,1,0,0,0,1
12505,2,62,17,60,2,53,19,60,1,70000,1,0,0,0,1
12505,1,41,21,30,0,51,18,60,0,70000,1,0,0,0,1
12505,1,51,14,15,1,44,16,60,1,70000,1,0,0,0,1
12505,2,51,14,15,0,36,16,60,0,70000,1,0,0,0,1
12505,1,36,17,60,0,51,16,30,1,70000,1,0,0,0,1
12505,2,70,14,60,0,49,16,30,2,70000,1,0,0,0,1
12534,1,150,39,30,0,177,35,30,1,30000,0,0,0,0,1
12534,1,92,41,60,0,122,35,15,2,30000,0,0,0,0,1
12534,1,104,43,15,2,122,35,30,0,30000,0,0,0,0,1
12534,1,133,47,60,1,156,43,60,2,30000,0,0,0,0,1
12534,2,103,51,30,0,129,45,60,0,30000,0,0,0,0,1
12534,1,110,39,60,1,129,34,15,1,30000,0,0,0,0,1
12534,1,129,34,15,0,90,40,60,0,30000,0,0,0,0,1
12534,2,129,39,30,1,90,43,60,0,30000,0,0,0,0,1
12534,2,177,35,60,0,124,41,30,2,30000,0,0,0,0,1
12640,2,49,49,30,1,42,54,30,0,137500,0,0,0,1,0
12640,2,26,57,60,0,34,49,15,2,137500,0,0,0,1,0
12640,2,29,59,15,2,34,49,30,0,137500,0,0,0,1,0
12640,2,44,60,60,2,37,66,60,1,137500,0,0,0,1,0
12640,1,36,62,60,0,29,72,30,0,137500,0,0,0,1,0
12640,1,36,47,15,1,31,54,60,1,137500,0,0,0,1,0
12640,1,36,47,15,0,25,56,60,0,137500,0,0,0,1,0
12640,2,25,60,60,0,36,55,30,1,137500,0,0,0,1,0
12640,2,35,57,30,2,49,49,60,0,137500,0,0,0,1,0
12670,1,21,9,15,1,30,8,60,1,112500,0,0,0,0,1
12670,1,34,8,15,0,25,11,60,1,112500,0,0,0,0,1
12670,1,25,7,30,0,22,8,60,2,112500,0,0,0,0,1
12670,2,27,7,60,0,23,9,15,0,112500,0,0,0,0,1
12670,1,30,8,15,0,27,9,15,0,112500,0,0,0,0,1
12670,2,25,9,30,1,27,8,15,0,112500,0,0,0,0,1
12670,2,20,9,15,2,25,8,15,2,112500,0,0,0,0,1
12670,1,19,9,30,2,25,8,60,2,112500,0,0,0,0,1
12670,2,23,10,30,2,16,12,15,1,112500,0,0,0,0,1
12712,2,9,9,15,2,13,8,15,1,137500,1,1,0,0,0
12712,2,7,8,60,2,10,6,60,0,137500,1,1,0,0,0
12712,1,7,9,15,0,10,7,60,0,137500,1,1,0,0,0
12712,1,14,6,15,1,11,7,15,2,137500,1,1,0,0,0
12712,1,13,6,30,0,9,8,60,2,137500,1,1,0,0,0
12712,1,10,6,15,1,8,8,30,1,137500,1,1,0,0,0
12712,1,9,8,15,1,12,7,30,0,137500,1,1,0,0,0
12712,2,13,6,30,2,10,8,30,0,137500,1,1,0,0,0
12712,1,9,7,15,1,12,6,60,1,137500,1,1,0,0,0
12713,2,124,30,60,1,87,35,15,1,112500,0,0,0,0,1
12713,2,105,44,60,1,140,34,15,0,112500,0,0,0,0,1
12713,2,92,33,60,2,103,29,30,0,112500,0,0,0,0,1
12713,1,96,37,15,0,113,29,60,0,112500,0,0,0,0,1
12713,2,112,33,15,0,124,30,15,0,112500,0,0,0,0,1
12713,1,113,30,15,0,102,33,30,1,112500,0,0,0,0,1
12713,2,103,30,15,2,82,36,15,2,112500,0,0,0,0,1
12713,1,77,37,30,2,103,34,60,2,112500,0,0,0,0,1
12713,2,97,38,30,2,68,50,15,1,112500,0,0,0,0,1
12729,1,27,9,15,1,38,8,60,1,112500,0,1,0,0,0
12729,1,43,8,15,0,32,11,60,1,112500,0,1,0,0,0
12729,1,31,7,30,0,28,8,60,2,112500,0,1,0,0,0
12729,1,29,9,15,0,35,7,60,0,112500,0,1,0,0,0
12729,2,38,8,15,0,34,9,15,0,112500,0,1,0,0,0
12729,2,31,9,30,1,35,8,15,0,112500,0,1,0,0,0
12729,1,25,9,15,2,31,8,15,2,112500,0,1,0,0,0
12729,1,24,9,30,2,31,8,60,2,112500,0,1,0,0,0
12729,1,21,12,15,1,30,9,30,2,112500,0,1,0,0,0
12741,2,129,34,60,1,90,39,15,1,70000,0,0,0,0,1
12741,1,146,38,15,0,109,49,60,1,70000,0,0,0,0,1
12741,2,96,37,60,2,106,32,30,0,70000,0,0,0,0,1
12741,2,100,42,15,0,118,32,60,0,70000,0,0,0,0,1
12741,1,116,38,15,0,129,34,15,0,70000,0,0,0,0,1
12741,1,118,34,15,0,106,38,30,1,70000,0,0,0,0,1
12741,2,85,41,15,2,106,34,15,2,70000,0,0,0,0,1
12741,1,80,42,30,2,106,38,60,2,70000,0,0,0,0,1
12741,2,71,56,15,1,101,43,30,2,70000,0,0,0,0,1
12748,2,33,26,15,2,44,22,15,1,70000,0,0,0,0,1
12748,2,24,23,60,2,34,18,60,0,70000,0,0,0,0,1
12748,2,36,21,60,0,25,24,15,0,70000,0,0,0,0,1
12748,1,49,17,15,1,40,18,15,2,70000,0,0,0,0,1
12748,1,44,17,30,0,33,22,60,2,70000,0,0,0,0,1
12748,1,36,18,15,1,27,23,30,1,70000,0,0,0,0,1
12748,1,40,19,30,0,32,22,15,1,70000,0,0,0,0,1
12748,1,44,17,30,2,35,22,30,0,70000,0,0,0,0,1
12748,2,30,20,15,1,40,17,60,1,70000,0,0,0,0,1
12901,1,19,11,30,0,22,10,30,1,50000,0,0,1,0,0
12901,1,15,10,15,2,11,12,60,0,50000,0,0,1,0,0
12901,1,15,10,30,0,13,13,15,2,50000,0,0,1,0,0
12901,2,20,13,60,2,17,14,60,1,50000,0,0,1,0,0
12901,2,16,13,60,0,13,15,30,0,50000,0,0,1,0,0
12901,2,16,10,15,1,14,11,60,1,50000,0,0,1,0,0
12901,2,11,12,60,0,16,10,15,0,50000,0,0,1,0,0
12901,1,16,12,30,1,11,13,60,0,50000,0,0,1,0,0
12901,2,22,10,60,0,15,12,30,2,50000,0,0,1,0,0
12931,1,68,47,30,1,98,39,15,0,50000,1,0,0,1,0
12931,1,62,50,60,2,89,45,30,1,50000,1,0,0,1,0
12931,2,110,34,15,2,77,46,15,0,50000,1,0,0,1,0
12931,1,57,52,30,0,77,43,30,1,50000,1,0,0,1,0
12931,2,69,61,30,1,81,45,15,0,50000,1,0,0,1,0
12931,1,65,45,15,2,77,39,15,2,50000,1,0,0,1,0
12931,2,77,34,30,2,69,39,30,1,50000,1,0,0,1,0
12931,1,69,53,15,0,77,39,60,1,50000,1,0,0,1,0
12931,1,81,43,15,1,73,56,15,2,50000,1,0,0,1,0
13034,2,31,4,30,1,27,5,30,0,90000,0,1,0,0,0
13034,1,16,5,60,0,22,4,15,2,90000,0,1,0,0,0
13034,1,22,4,30,0,18,5,15,2,90000,0,1,0,0,0
13034,1,23,6,60,1,28,5,60,2,90000,0,1,0,0,0
13034,1,18,6,30,0,23,5,60,0,90000,0,1,0,0,0
13034,1,23,4,15,1,19,5,60,1,90000,0,1,0,0,0
13034,1,23,4,15,0,16,5,60,0,90000,0,1,0,0,0
13034,1,16,5,60,0,23,4,30,1,90000,0,1,0,0,0
13034,1,31,4,60,0,22,5,30,2,90000,0,1,0,0,0
13062,2,20,3,60,1,14,4,15,1,137500,1,1,0,0,0
13062,1,22,3,15,0,17,4,60,1,137500,1,1,0,0,0
13062,1,16,3,30,0,15,4,60,2,137500,1,1,0,0,0
13062,2,18,3,60,0,15,4,15,0,137500,1,1,0,0,0
13062,2,18,4,15,0,20,3,15,0,137500,1,1,0,0,0
13062,2,16,4,30,1,18,3,15,0,137500,1,1,0,0,0
13062,2,13,4,15,2,16,3,15,2,137500,1,1,0,0,0
13062,2,12,4,30,2,16,3,60,2,137500,1,1,0,0,0
13062,1,11,5,15,1,15,4,30,2,137500,1,1,0,0,0
13181,1,61,22,15,1,81,20,60,2,112500,0,0,0,0,1
13181,2,61,28,60,1,77,21,60,1,112500,0,0,0,0,1
13181,2,57,22,30,2,77,20,60,0,112500,0,0,0,0,1
13181,1,81,21,30,0,61,28,15,1,112500,0,0,0,0,1
13181,1,57,23,15,1,81,21,30,2,112500,0,0,0,0,1
13181,1,89,25,15,2,62,34,30,2,112500,0,0,0,0,1
13181,1,67,24,60,0,89,21,15,2,112500,0,0,0,0,1
13181,1,110,25,30,0,83,29,15,1,112500,0,0,0,0,1
13181,2,54,23,30,1,77,20,15,1,112500,0,0,0,0,1
13199,1,83,6,15,1,62,7,15,2,30000,0,1,0,0,0
13199,1,65,4,60,0,45,6,60,2,30000,0,1,0,0,0
13199,2,68,5,60,0,48,6,15,0,30000,0,1,0,0,0
13199,1,75,5,15,2,94,4,15,1,30000,0,1,0,0,0
13199,2,62,6,60,2,83,4,30,0,30000,0,1,0,0,0
13199,1,51,6,30,1,68,4,15,1,30000,0,1,0,0,0
13199,2,76,5,30,0,60,6,15,1,30000,0,1,0,0,0
13199,2,83,4,30,2,66,5,30,0,30000,0,1,0,0,0
13199,1,57,5,15,1,76,4,60,1,30000,0,1,0,0,0
13214,1,54,62,15,2,72,54,15,1,137500,1,0,0,1,0
13214,2,57,43,60,0,40,56,60,2,137500,1,0,0,1,0
13214,2,60,52,60,0,42,60,15,0,137500,1,0,0,1,0
13214,2,82,41,15,1,66,45,15,2,137500,1,0,0,1,0
13214,2,72,41,30,0,54,55,60,2,137500,1,0,0,1,0
13214,1,45,56,30,1,60,43,15,1,137500,1,0,0,1,0
13214,2,53,54,15,1,66,47,30,0,137500,1,0,0,1,0
13214,2,72,41,30,2,58,53,30,0,137500,1,0,0,1,0
13214,2,66,41,60,1,50,49,15,1,137500,1,0,0,1,0
13389,1,46,21,15,1,66,18,60,1,90000,0,0,0,0,1
13389,1,74,20,15,0,56,26,60,1,90000,0,0,0,0,1
13389,1,54,17,30,0,49,20,60,2,90000,0,0,0,0,1
13389,1,51,22,15,0,60,17,60,0,90000,0,0,0,0,1
13389,1,66,18,15,0,59,20,15,0,90000,0,0,0,0,1
13389,1,60,18,15,0,54,20,30,1,90000,0,0,0,0,1
13389,1,54,18,15,2,43,22,15,2,90000,0,0,0,0,1
13389,2,54,20,60,2,41,22,30,2,90000,0,0,0,0,1
13389,1,36,30,15,1,51,23,30,2,90000,0,0,0,0,1
13506,2,62,16,15,0,43,19,30,1,167500,0,0,0,0,1
13506,1,57,18,30,1,40,20,60,2,167500,0,0,0,0,1
13506,2,70,14,15,2,49,18,15,0,167500,0,0,0,0,1
13506,2,49,17,30,1,36,21,30,0,167500,0,0,0,0,1
13506,2,44,24,30,1,51,18,15,0,167500,0,0,0,0,1
13506,1,49,16,15,2,41,18,15,2,167500,0,0,0,0,1
13506,2,49,14,30,2,44,16,30,1,167500,0,0,0,0,1
13506,2,49,16,60,1,44,21,15,0,167500,0,0,0,0,1
13506,1,51,17,15,1,46,22,15,2,167500,0,0,0,0,1
13508,2,24,7,30,1,35,6,15,0,90000,1,0,0,0,1
13508,1,31,7,30,1,22,8,60,2,90000,1,0,0,0,1
13508,2,39,5,15,2,27,7,15,0,90000,1,0,0,0,1
13508,2,27,7,30,1,20,8,30,0,90000,1,0,0,0,1
13508,2,24,9,30,1,29,7,15,0,90000,1,0,0,0,1
13508,1,23,7,15,2,27,6,15,2,90000,1,0,0,0,1
13508,1,24,6,30,1,27,5,30,2,90000,1,0,0,0,1
13508,2,27,6,60,1,24,8,15,0,90000,1,0,0,0,1
13508,2,26,9,15,2,29,7,15,1,90000,1,0,0,0,1
13602,1,11,2,15,1,14,1,60,2,112500,0,1,0,0,0
13602,2,14,2,60,1,11,3,60,1,112500,0,1,0,0,0
13602,1,14,1,60,0,10,2,30,2,112500,0,1,0,0,0
13602,2,11,3,15,1,14,2,30,0,112500,0,1,0,0,0
13602,2,14,2,30,2,10,3,15,1,112500,0,1,0,0,0
13602,1,16,2,15,2,11,3,30,2,112500,0,1,0,0,0
13602,1,12,3,60,0,16,2,15,2,112500,0,1,0,0,0
13602,2,15,3,15,1,20,2,30,0,112500,0,1,0,0,0
13602,2,9,2,30,1,14,1,15,1,112500,0,1,0,0,0
13607,1,31,8,30,0,36,7,30,1,167500,0,0,0,0,1
13607,2,25,7,15,2,19,8,60,0,167500,0,0,0,0,1
13607,1,25,7,30,0,21,9,15,2,167500,0,0,0,0,1
13607,1,27,10,60,1,32,9,60,2,167500,0,0,0,0,1
13607,2,27,9,60,0,21,10,30,0,167500,0,0,0,0,1
13607,1,27,7,15,1,23,8,60,1,167500,0,0,0,0,1
13607,1,27,7,15,0,19,8,60,0,167500,0,0,0,0,1
13607,1,19,9,60,0,27,8,30,1,167500,0,0,0,0,1
13607,1,36,7,60,0,25,8,30,2,167500,0,0,0,0,1
13608,1,37,6,15,2,49,5,15,1,90000,1,1,0,0,0
13608,1,39,4,60,0,27,5,60,2,90000,1,1,0,0,0
13608,1,29,5,15,0,41,4,60,0,90000,1,1,0,0,0
13608,1,56,4,15,1,45,5,15,2,90000,1,1,0,0,0
13608,1,49,4,30,0,37,5,60,2,90000,1,1,0,0,0
13608,1,41,4,15,1,31,5,30,1,90000,1,1,0,0,0
13608,1,36,5,15,1,45,4,30,0,90000,1,1,0,0,0
13608,1,40,5,30,0,49,4,30,2,90000,1,1,0,0,0
13608,2,45,4,60,1,34,5,15,1,90000,1,1,0,0,0
13718,1,116,35,15,1,166,30,60,1,70000,0,0,0,0,1
13718,1,187,33,15,0,140,43,60,1,70000,0,0,0,0,1
13718,2,123,33,60,2,137,28,30,0,70000,0,0,0,0,1
13718,2,151,28,60,0,129,37,15,0,70000,0,0,0,0,1
13718,1,149,33,15,0,166,30,15,0,70000,0,0,0,0,1
13718,2,136,33,30,1,151,30,15,0,70000,0,0,0,0,1
13718,2,137,30,15,2,109,36,15,2,70000,0,0,0,0,1
13718,2,137,33,60,2,103,36,30,2,70000,0,0,0,0,1
13718,1,91,49,15,1,130,38,30,2,70000,0,0,0,0,1
13784,2,14,3,15,2,18,2,15,1,30000,1,0,0,0,1
13784,2,10,3,60,2,14,2,60,0,30000,1,0,0,0,1
13784,1,15,2,60,0,11,3,15,0,30000,1,0,0,0,1
13784,1,21,1,15,1,17,2,15,2,30000,1,0,0,0,1
13784,1,18,1,30,0,14,2,60,2,30000,1,0,0,0,1
13784,1,15,2,15,1,11,3,30,1,30000,1,0,0,0,1
13784,2,13,3,15,1,17,2,30,0,30000,1,0,0,0,1
13784,1,15,2,30,0,18,1,30,2,30000,1,0,0,0,1
13784,2,17,1,60,1,13,2,15,1,30000,1,0,0,0,1
13831,2,41,10,30,1,59,9,15,0,90000,0,1,0,0,0
13831,1,54,10,30,1,37,11,60,2,90000,0,1,0,0,0
13831,2,66,7,15,2,46,10,15,0,90000,0,1,0,0,0
13831,2,46,9,30,1,34,11,30,0,90000,0,1,0,0,0
13831,2,41,13,30,1,48,10,15,0,90000,0,1,0,0,0
13831,1,39,10,15,2,46,9,15,2,90000,0,1,0,0,0
13831,1,41,8,30,1,46,7,30,2,90000,0,1,0,0,0
13831,2,46,9,60,1,41,11,15,0,90000,0,1,0,0,0
13831,2,44,12,15,2,48,9,15,1,90000,0,1,0,0,0
13863,1,38,15,15,1,28,17,15,2,167500,0,0,0,0,1
13863,2,21,15,60,2,30,12,60,0,167500,0,0,0,0,1
13863,1,31,14,60,0,22,16,15,0,167500,0,0,0,0,1
13863,2,34,12,15,2,43,11,15,1,167500,0,0,0,0,1
13863,2,28,15,60,2,38,11,30,0,167500,0,0,0,0,1
13863,1,31,12,15,1,24,15,30,1,167500,0,0,0,0,1
13863,2,28,15,15,1,35,13,30,0,167500,0,0,0,0,1
13863,1,38,11,30,2,30,15,30,0,167500,0,0,0,0,1
13863,2,26,13,15,1,35,11,60,1,167500,0,0,0,0,1
13869,2,136,65,60,2,102,71,15,1,137500,1,0,0,1,0
13869,2,129,68,60,1,103,92,60,1,137500,1,0,0,1,0
13869,1,97,71,30,2,129,65,60,0,137500,1,0,0,1,0
13869,2,136,68,30,0,102,92,15,1,137500,1,0,0,1,0
13869,1,95,75,15,1,136,68,30,2,137500,1,0,0,1,0
13869,1,150,83,15,2,105,111,30,2,137500,1,0,0,1,0
13869,2,150,68,15,2,113,78,60,0,137500,1,0,0,1,0
13869,2,186,83,30,0,139,95,15,1,137500,1,0,0,1,0
13869,2,129,65,15,1,90,74,30,1,137500,1,0,0,1,0
13883,1,163,66,30,1,232,55,15,0,112500,1,0,0,0,1
13883,1,148,69,60,2,212,62,30,1,112500,1,0,0,0,1
13883,1,184,63,15,0,263,47,15,2,112500,1,0,0,0,1
13883,2,182,60,30,1,136,72,30,0,112500,1,0,0,0,1
13883,2,163,84,30,1,192,62,15,0,112500,1,0,0,0,1
13883,1,182,55,15,2,155,63,15,2,112500,1,0,0,0,1
13883,1,164,54,30,1,182,47,30,2,112500,1,0,0,0,1
13883,1,164,74,15,0,182,55,60,1,112500,1,0,0,0,1
13883,1,192,60,15,1,173,78,15,2,112500,1,0,0,0,1
13902,2,187,43,15,0,131,51,30,1,10000,0,0,0,0,1
13902,1,120,53,60,2,171,49,30,1,10000,0,0,0,0,1
13902,2,212,36,15,2,148,49,15,0,10000,0,0,0,0,1
13902,1,110,56,30,0,147,47,30,1,10000,0,0,0,0,1
13902,2,132,66,30,1,155,49,15,0,10000,0,0,0,0,1
13902,1,125,49,15,2,147,43,15,2,10000,0,0,0,0,1
13902,1,132,42,30,1,147,36,30,2,10000,0,0,0,0,1
13902,2,132,57,15,0,147,43,60,1,10000,0,0,0,0,1
13902,2,139,61,15,2,155,47,15,1,10000,0,0,0,0,1
13916,1,33,5,15,0,23,6,30,1,10000,0,0,0,0,1
13916,1,21,7,60,2,30,6,30,1,10000,0,0,0,0,1
13916,1,26,6,15,0,38,5,15,2,10000,0,0,0,0,1
13916,1,20,7,30,0,26,6,30,1,10000,0,0,0,0,1
13916,2,23,8,30,1,28,6,15,0,10000,0,0,0,0,1
13916,2,26,5,15,2,22,6,15,2,10000,0,0,0,0,1
13916,1,23,6,30,1,26,5,30,2,10000,0,0,0,0,1
13916,1,23,7,15,0,26,5,60,1,10000,0,0,0,0,1
13916,2,25,7,15,2,28,6,15,1,10000,0,0,0,0,1
13922,1,28,9,15,1,21,10,15,2,50000,1,0,0,0,1
13922,2,15,9,60,2,22,7,60,0,50000,1,0,0,0,1
