choice,college,hsg2,coml5,type1,type2,type3,type4,type5,type6,fuel1,fuel2,fuel3,fuel4,fuel5,fuel6,price1,price2,price3,price4,price5,price6,range1,range2,range3,range4,range5,range6,acc1,acc2,acc3,acc4,acc5,acc6,speed1,speed2,speed3,speed4,speed5,speed6,pollution1,pollution2,pollution3,pollution4,pollution5,pollution6,size1,size2,size3,size4,size5,size6,space1,space2,space3,space4,space5,space6,cost1,cost2,cost3,cost4,cost5,cost6,station1,station2,station3,station4,station5,station6
choice1,1.0,0.0,0.0,regcar,truck,regcar,van,regcar,stwagon,methanol,methanol,cng,cng,electric,electric,4.1386835,4.1386835,4.4145957,4.4145957,3.0350346,3.0350346,200.0,200.0,75.0,75.0,300.0,300.0,4.0,4.0,6.0,6.0,2.5,2.5,55.0,55.0,95.0,95.0,110.0,110.0,0.0,0.0,0.1,0.1,0.4,0.4,3.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,4.0,6.0,6.0,0.0,0.0,0.7,0.7,0.1,0.1
choice2,1.0,1.0,0.0,truck,stwagon,truck,regcar,truck,van,methanol,methanol,electric,electric,gasoline,gasoline,3.323736,3.323736,3.7985554,3.7985554,2.6115068,2.6115068,125.0,125.0,250.0,250.0,300.0,300.0,4.0,4.0,6.0,6.0,2.5,2.5,85.0,85.0,85.0,85.0,95.0,95.0,0.0,0.0,0.25,0.25,0.5,0.5,3.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,8.0,8.0,2.0,2.0,0.0,0.0,0.7,0.7,1.0,1.0
choice5,1.0,0.0,0.0,sportcar,truck,sportcar,sportuv,sportcar,regcar,methanol,methanol,cng,cng,gasoline,gasoline,5.4600663,5.4600663,6.102427,6.102427,7.3871485,7.3871485,200.0,200.0,75.0,75.0,350.0,350.0,4.0,4.0,6.0,6.0,2.5,2.5,85.0,85.0,140.0,140.0,95.0,95.0,0.0,0.0,0.25,0.25,1.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,8.0,4.0,4.0,8.0,8.0,0.0,0.0,0.1,0.1,1.0,1.0
choice5,0.0,0.0,0.0,regcar,stwagon,regcar,truck,regcar,van,methanol,methanol,electric,electric,gasoline,gasoline,1.2847215,1.2847215,1.6059019,1.6059019,0.96354111,0.96354111,200.0,200.0,300.0,300.0,350.0,350.0,2.5,2.5,4.0,4.0,6.0,6.0,85.0,85.0,85.0,85.0,95.0,95.0,0.0,0.0,0.4,0.4,0.75,0.75,2.0,2.0,3.0,3.0,3.0,3.0,0.7,0.7,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,4.0,0.0,0.0,0.7,0.7,1.0,1.0
choice3,1.0,0.0,0.0,regcar,stwagon,regcar,truck,regcar,van,methanol,methanol,electric,electric,gasoline,gasoline,4.690508,4.690508,3.586859,3.586859,4.1386835,4.1386835,200.0,200.0,300.0,300.0,350.0,350.0,4.0,4.0,6.0,6.0,2.5,2.5,65.0,65.0,140.0,140.0,85.0,85.0,0.0,0.0,0.6,0.6,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,6.0,6.0,0.0,0.0,0.3,0.3,1.0,1.0
choice6,1.0,0.0,0.0,truck,van,truck,stwagon,truck,regcar,methanol,methanol,cng,cng,gasoline,gasoline,1.9313856,1.9313856,1.9313856,1.9313856,2.7591223,2.7591223,75.0,75.0,250.0,250.0,250.0,250.0,6.0,6.0,2.5,2.5,4.0,4.0,100.0,100.0,85.0,85.0,110.0,110.0,0.0,0.0,0.1,0.1,0.75,0.75,3.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,8.0,8.0,8.0,4.0,4.0,0.0,0.0,0.1,0.1,1.0,1.0
choice3,1.0,1.0,1.0,regcar,van,regcar,stwagon,regcar,truck,methanol,methanol,cng,cng,gasoline,gasoline,8.4371306,8.4371306,5.4593198,5.4593198,7.444527,7.444527,75.0,75.0,250.0,250.0,250.0,250.0,6.0,6.0,2.5,2.5,4.0,4.0,65.0,65.0,110.0,110.0,85.0,85.0,0.0,0.0,0.4,0.4,0.25,0.25,3.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,0.7,0.7,1.0,1.0,8.0,8.0,2.0,2.0,6.0,6.0,0.0,0.0,0.1,0.1,1.0,1.0
choice2,0.0,0.0,0.0,regcar,truck,regcar,van,regcar,stwagon,methanol,methanol,cng,cng,electric,electric,1.0224889,1.0224889,1.1503,1.1503,1.2781111,1.2781111,200.0,200.0,75.0,75.0,300.0,300.0,2.5,2.5,4.0,4.0,6.0,6.0,85.0,85.0,140.0,140.0,85.0,85.0,0.0,0.0,0.4,0.4,0.75,0.75,3.0,3.0,3.0,3.0,2.0,2.0,0.7,0.7,1.0,1.0,1.0,1.0,8.0,8.0,6.0,6.0,8.0,8.0,0.0,0.0,0.1,0.1,0.3,0.3
choice3,1.0,1.0,0.0,van,regcar,van,stwagon,van,truck,methanol,methanol,cng,cng,electric,electric,3.3109468,3.3109468,3.586859,3.586859,4.1386835,4.1386835,125.0,125.0,300.0,300.0,250.0,250.0,4.0,4.0,6.0,6.0,2.5,2.5,100.0,100.0,85.0,85.0,95.0,95.0,0.0,0.0,0.4,0.4,0.75,0.75,3.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,0.7,0.7,1.0,1.0,1.0,1.0,8.0,8.0,2.0,2.0,0.0,0.0,0.1,0.1,0.3,0.3
choice5,1.0,0.0,1.0,regcar,stwagon,regcar,truck,regcar,van,methanol,methanol,electric,electric,gasoline,gasoline,3.3109468,3.3109468,4.1386835,4.1386835,4.4145957,4.4145957,200.0,200.0,300.0,300.0,350.0,350.0,2.5,2.5,4.0,4.0,6.0,6.0,100.0,100.0,95.0,95.0,110.0,110.0,0.0,0.0,0.25,0.25,0.5,0.5,3.0,3.0,1.0,1.0,2.0,2.0,0.7,0.7,1.0,1.0,1.0,1.0,4.0,4.0,2.0,2.0,4.0,4.0,0.0,0.0,0.7,0.7,1.0,1.0
choice5,0.0,1.0,1.0,regcar,stwagon,regcar,truck,regcar,van,methanol,methanol,electric,electric,gasoline,gasoline,5.9556216,5.9556216,7.444527,7.444527,7.9408288,7.9408288,125.0,125.0,250.0,250.0,300.0,300.0,2.5,2.5,4.0,4.0,6.0,6.0,65.0,65.0,140.0,140.0,85.0,85.0,0.0,0.0,0.75,0.75,0.25,0.25,2.0,2.0,3.0,3.0,1.0,1.0,0.7,0.7,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,6.0,6.0,0.0,0.0,0.3,0.3,1.0,1.0
choice6,1.0,0.0,0.0,sportuv,truck,sportuv,sportcar,sportuv,regcar,methanol,methanol,cng,cng,gasoline,gasoline,4.8568222,4.8568222,5.3680666,5.3680666,4.3455777,4.3455777,200.0,200.0,75.0,75.0,350.0,350.0,4.0,4.0,6.0,6.0,2.5,2.5,100.0,100.0,85.0,85.0,110.0,110.0,0.0,0.0,0.4,0.4,0.25,0.25,3.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,8.0,8.0,0.0,0.0,0.1,0.1,1.0,1.0
choice5,0.0,0.0,1.0,regcar,van,regcar,stwagon,regcar,truck,methanol,methanol,cng,cng,gasoline,gasoline,4.690508,4.690508,3.0350346,3.0350346,4.1386835,4.1386835,125.0,125.0,300.0,300.0,300.0,300.0,2.5,2.5,4.0,4.0,6.0,6.0,65.0,65.0,110.0,110.0,85.0,85.0,0.0,0.0,0.6,0.6,0.5,0.5,3.0,3.0,2.0,2.0,3.0,3.0,0.7,0.7,1.0,1.0,1.0,1.0,1.0,1.0,8.0,8.0,4.0,4.0,0.0,0.0,0.1,0.1,1.0,1.0
choice3,1.0,0.0,0.0,regcar,truck,regcar,van,regcar,stwagon,methanol,methanol,cng,cng,electric,electric,4.690508,4.690508,3.0350346,3.0350346,3.586859,3.586859,125.0,125.0,300.0,300.0,250.0,250.0,6.0,6.0,2.5,2.5,4.0,4.0,85.0,85.0,140.0,140.0,85.0,85.0,0.0,0.0,0.25,0.25,0.6,0.6,0.0,0.0,1.0,1.0,2.0,2.0,0.7,0.7,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,6.0,6.0,0.0,0.0,0.7,0.7,0.1,0.1
choice1,1.0,0.0,0.0,truck,regcar,truck,van,truck,stwagon,methanol,methanol,cng,cng,electric,electric,7.0659681,7.0659681,7.3871485,7.3871485,5.4600663,5.4600663,125.0,125.0,300.0,300.0,250.0,250.0,4.0,4.0,6.0,6.0,2.5,2.5,65.0,65.0,110.0,110.0,140.0,140.0,0.0,0.0,0.1,0.1,0.4,0.4,3.0,3.0,2.0,2.0,3.0,3.0,1.0,1.0,0.7,0.7,1.0,1.0,8.0,8.0,8.0,8.0,2.0,2.0,0.0,0.0,0.1,0.1,0.3,0.3
choice3,1.0,0.0,1.0,regcar,van,regcar,stwagon,regcar,truck,methanol,methanol,cng,cng,gasoline,gasoline,4.1386835,4.1386835,4.4145957,4.4145957,3.586859,3.586859,125.0,125.0,300.0,300.0,300.0,300.0,6.0,6.0,2.5,2.5,4.0,4.0,100.0,100.0,85.0,85.0,110.0,110.0,0.0,0.0,0.25,0.25,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,6.0,6.0,2.0,2.0,0.0,0.0,0.3,0.3,1.0,1.0
choice5,1.0,0.0,0.0,regcar,van,regcar,stwagon,regcar,truck,methanol,methanol,cng,cng,gasoline,gasoline,3.3927834,3.3927834,2.1953304,2.1953304,2.9936324,2.9936324,125.0,125.0,300.0,300.0,300.0,300.0,4.0,4.0,6.0,6.0,2.5,2.5,55.0,55.0,95.0,95.0,140.0,140.0,0.0,0.0,0.1,0.1,0.75,0.75,3.0,3.0,2.0,2.0,3.0,3.0,0.7,0.7,0.7,0.7,1.0,1.0,4.0,4.0,2.0,2.0,6.0,6.0,0.0,0.0,0.1,0.1,1.0,1.0
choice5,0.0,0.0,0.0,truck,regcar,truck,van,truck,stwagon,cng,cng,electric,electric,gasoline,gasoline,0.96354111,0.96354111,1.1241313,1.1241313,1.4453117,1.4453117,300.0,300.0,250.0,250.0,300.0,300.0,4.0,4.0,6.0,6.0,2.5,2.5,110.0,110.0,140.0,140.0,85.0,85.0,0.25,0.25,0.6,0.6,1.0,1.0,3.0,3.0,3.0,3.0,2.0,2.0,0.7,0.7,1.0,1.0,1.0,1.0,2.0,2.0,4.0,4.0,6.0,6.0,0.3,0.3,0.7,0.7,1.0,1.0
choice1,1.0,0.0,1.0,regcar,van,regcar,stwagon,regcar,truck,methanol,methanol,cng,cng,gasoline,gasoline,6.6218936,6.6218936,4.690508,4.690508,5.7941569,5.7941569,200.0,200.0,75.0,75.0,350.0,350.0,4.0,4.0,6.0,6.0,2.5,2.5,65.0,65.0,110.0,110.0,85.0,85.0,0.0,0.0,0.1,0.1,0.75,0.75,3.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,4.0,8.0,8.0,0.0,0.0,0.1,0.1,1.0,1.0
choice3,1.0,0.0,0.0,truck,van,truck,stwagon,truck,regcar,methanol,methanol,cng,cng,gasoline,gasoline,3.9704144,3.9704144,4.4667162,4.4667162,2.9778108,2.9778108,125.0,125.0,300.0,300.0,300.0,300.0,6.0,6.0,2.5,2.5,4.0,4.0,65.0,65.0,110.0,110.0,85.0,85.0,0.0,0.0,0.6,0.6,0.5,0.5,3.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,0.7,0.7,1.0,1.0,4.0,4.0,4.0,4.0,8.0,8.0,0.0,0.0,0.7,0.7,1.0,1.0
choice5,1.0,0.0,0.0,regcar,van,regcar,stwagon,regcar,truck,methanol,methanol,cng,cng,gasoline,gasoline,7.0659681,7.0659681,7.3871485,7.3871485,6.102427,6.102427,200.0,200.0,75.0,75.0,350.0,350.0,4.0,4.0,6.0,6.0,2.5,2.5,55.0,55.0,95.0,95.0,140.0,140.0,0.0,0.0,0.6,0.6,0.5,0.5,3.0,3.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,8.0,8.0,0.0,0.0,0.1,0.1,1.0,1.0
choice5,0.0,0.0,0.0,regcar,stwagon,regcar,truck,regcar,van,methanol,methanol,electric,electric,gasoline,gasoline,3.7871011,3.7871011,2.7772075,2.7772075,3.2821543,3.2821543,125.0,125.0,250.0,250.0,300.0,300.0,2.5,2.5,4.0,4.0,6.0,6.0,100.0,100.0,95.0,95.0,110.0,110.0,0.0,0.0,0.4,0.4,0.75,0.75,2.0,2.0,3.0,3.0,3.0,3.0,0.7,0.7,1.0,1.0,1.0,1.0,2.0,2.0,4.0,4.0,6.0,6.0,0.0,0.0,0.3,0.3,1.0,1.0
choice3,1.0,1.0,0.0,regcar,stwagon,regcar,truck,regcar,van,methanol,methanol,electric,electric,gasoline,gasoline,4.0359651,4.0359651,3.0863263,3.0863263,3.5611457,3.5611457,50.0,50.0,350.0,350.0,400.0,400.0,6.0,6.0,2.5,2.5,4.0,4.0,65.0,65.0,140.0,140.0,85.0,85.0,0.0,0.0,0.4,0.4,0.75,0.75,2.0,2.0,3.0,3.0,3.0,3.0,0.7,0.7,1.0,1.0,1.0,1.0,8.0,8.0,8.0,8.0,2.0,2.0,0.0,0.0,0.3,0.3,1.0,1.0
choice2,1.0,0.0,1.0,regcar,truck,regcar,van,regcar,stwagon,methanol,methanol,cng,cng,electric,electric,4.8177056,4.8177056,5.1388859,5.1388859,3.5329841,3.5329841,125.0,125.0,300.0,300.0,250.0,250.0,4.0,4.0,6.0,6.0,2.5,2.5,85.0,85.0,140.0,140.0,85.0,85.0,0.0,0.0,0.25,0.25,0.6,0.6,2.0,2.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,6.0,6.0,8.0,8.0,0.0,0.0,0.3,0.3,0.7,0.7
choice5,1.0,0.0,0.0,regcar,truck,regcar,van,regcar,stwagon,cng,cng,electric,electric,gasoline,gasoline,2.8118444,2.8118444,3.3230888,3.3230888,3.8343333,3.8343333,250.0,250.0,400.0,400.0,250.0,250.0,4.0,4.0,6.0,6.0,2.5,2.5,85.0,85.0,95.0,95.0,110.0,110.0,0.4,0.4,0.75,0.75,0.25,0.25,3.0,3.0,3.0,3.0,2.0,2.0,0.7,0.7,1.0,1.0,1.0,1.0,4.0,4.0,6.0,6.0,8.0,8.0,0.1,0.1,0.3,0.3,1.0,1.0
choice3,1.0,1.0,1.0,sportuv,regcar,sportuv,truck,sportuv,sportcar,methanol,methanol,cng,cng,electric,electric,5.554415,5.554415,5.8068884,5.8068884,4.2920479,4.2920479,200.0,200.0,75.0,75.0,300.0,300.0,6.0,6.0,2.5,2.5,4.0,4.0,85.0,85.0,140.0,140.0,85.0,85.0,0.0,0.0,0.4,0.4,0.75,0.75,2.0,2.0,3.0,3.0,1.0,1.0,0.7,0.7,0.7,0.7,1.0,1.0,1.0,1.0,8.0,8.0,2.0,2.0,0.0,0.0,0.3,0.3,0.7,0.7
choice3,1.0,0.0,1.0,regcar,stwagon,regcar,truck,regcar,van,methanol,methanol,electric,electric,gasoline,gasoline,4.0359651,4.0359651,3.0863263,3.0863263,3.5611457,3.5611457,200.0,200.0,300.0,300.0,350.0,350.0,2.5,2.5,4.0,4.0,6.0,6.0,55.0,55.0,110.0,110.0,140.0,140.0,0.0,0.0,0.75,0.75,0.25,0.25,3.0,3.0,3.0,3.0,2.0,2.0,0.7,0.7,1.0,1.0,1.0,1.0,8.0,8.0,2.0,2.0,4.0,4.0,0.0,0.0,0.7,0.7,1.0,1.0
choice5,0.0,0.0,0.0,regcar,truck,regcar,van,regcar,stwagon,cng,cng,electric,electric,gasoline,gasoline,1.9270822,1.9270822,2.2482626,2.2482626,2.8906233,2.8906233,75.0,75.0,300.0,300.0,350.0,350.0,2.5,2.5,4.0,4.0,6.0,6.0,85.0,85.0,95.0,95.0,110.0,110.0,0.1,0.1,0.4,0.4,0.75,0.75,2.0,2.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,4.0,6.0,6.0,0.1,0.1,0.3,0.3,1.0,1.0
choice3,0.0,0.0,0.0,regcar,truck,regcar,van,regcar,stwagon,cng,cng,electric,electric,gasoline,gasoline,4.8177056,4.8177056,5.1388859,5.1388859,3.5329841,3.5329841,75.0,75.0,300.0,300.0,350.0,350.0,2.5,2.5,4.0,4.0,6.0,6.0,110.0,110.0,140.0,140.0,85.0,85.0,0.4,0.4,0.75,0.75,0.25,0.25,3.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,4.0,6.0,6.0,0.1,0.1,0.3,0.3,1.0,1.0
choice1,0.0,1.0,1.0,truck,regcar,truck,van,truck,stwagon,methanol,methanol,cng,cng,electric,electric,7.7083289,7.7083289,5.4600663,5.4600663,6.102427,6.102427,125.0,125.0,300.0,300.0,250.0,250.0,6.0,6.0,2.5,2.5,4.0,4.0,85.0,85.0,140.0,140.0,85.0,85.0,0.0,0.0,0.25,0.25,0.6,0.6,1.0,1.0,2.0,2.0,3.0,3.0,0.7,0.7,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,6.0,6.0,0.0,0.0,0.7,0.7,0.1,0.1
choice3,1.0,0.0,1.0,regcar,van,regcar,stwagon,regcar,truck,methanol,methanol,cng,cng,gasoline,gasoline,3.0296809,3.0296809,3.2821543,3.2821543,4.0395745,4.0395745,200.0,200.0,75.0,75.0,350.0,350.0,6.0,6.0,2.5,2.5,4.0,4.0,65.0,65.0,110.0,110.0,85.0,85.0,0.0,0.0,0.1,0.1,0.75,0.75,3.0,3.0,2.0,2.0,3.0,3.0,0.7,0.7,1.0,1.0,1.0,1.0,4.0,4.0,2.0,2.0,6.0,6.0,0.0,0.0,0.3,0.3,1.0,1.0
choice4,1.0,0.0,0.0,truck,regcar,truck,van,truck,stwagon,cng,cng,electric,electric,gasoline,gasoline,1.3795612,1.3795612,0.8277367,0.8277367,0.96569282,0.96569282,75.0,75.0,300.0,300.0,350.0,350.0,4.0,4.0,6.0,6.0,2.5,2.5,110.0,110.0,140.0,140.0,85.0,85.0,0.4,0.4,0.75,0.75,0.25,0.25,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,6.0,6.0,8.0,8.0,0.3,0.3,0.7,0.7,1.0,1.0
choice1,0.0,1.0,0.0,regcar,truck,regcar,van,regcar,stwagon,cng,cng,electric,electric,gasoline,gasoline,4.1753448,4.1753448,4.8177056,4.8177056,5.1388859,5.1388859,75.0,75.0,300.0,300.0,350.0,350.0,6.0,6.0,2.5,2.5,4.0,4.0,110.0,110.0,140.0,140.0,85.0,85.0,0.4,0.4,0.75,0.75,0.25,0.25,3.0,3.0,3.0,3.0,2.0,2.0,0.7,0.7,1.0,1.0,1.0,1.0,8.0,8.0,2.0,2.0,4.0,4.0,0.7,0.7,0.1,0.1,1.0,1.0
choice5,0.0,0.0,0.0,regcar,van,regcar,stwagon,regcar,truck,methanol,methanol,cng,cng,gasoline,gasoline,3.5346277,3.5346277,3.7871011,3.7871011,2.7772075,2.7772075,200.0,200.0,75.0,75.0,350.0,350.0,4.0,4.0,6.0,6.0,2.5,2.5,100.0,100.0,85.0,85.0,110.0,110.0,0.0,0.0,0.4,0.4,0.25,0.25,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,8.0,8.0,0.0,0.0,0.1,0.1,1.0,1.0
choice3,1.0,0.0,1.0,regcar,stwagon,regcar,truck,regcar,van,methanol,methanol,electric,electric,gasoline,gasoline,3.5787111,3.5787111,4.0899555,4.0899555,2.8118444,2.8118444,200.0,200.0,300.0,300.0,350.0,350.0,2.5,2.5,4.0,4.0,6.0,6.0,85.0,85.0,85.0,85.0,95.0,95.0,0.0,0.0,0.4,0.4,0.75,0.75,2.0,2.0,3.0,3.0,3.0,3.0,0.7,0.7,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,4.0,0.0,0.0,0.7,0.7,1.0,1.0
choice5,1.0,0.0,0.0,regcar,stwagon,regcar,truck,regcar,van,methanol,methanol,electric,electric,gasoline,gasoline,3.0674666,3.0674666,3.8343333,3.8343333,4.0899555,4.0899555,200.0,200.0,300.0,300.0,350.0,350.0,6.0,6.0,2.5,2.5,4.0,4.0,65.0,65.0,140.0,140.0,85.0,85.0,0.0,0.0,0.6,0.6,1.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,8.0,6.0,6.0,8.0,8.0,0.0,0.0,0.3,0.3,1.0,1.0
